year,region,1_4_gr_students_per_computer,5_6_gr_students_per_computer,7_9_gr_students_per_computer,10_12_gr_students_per_computer
2020 / 2021,Portugal,,,,
2020 / 2021,Continente,1.9,1.7,1.9,2.2
2020 / 2021,Norte,1.8,1.6,1.8,2.0
2020 / 2021,Alto Minho,1.9,1.5,1.5,1.8
2020 / 2021,Arcos de Valdevez,1.9,1.5,1.5,1.3
2020 / 2021,Caminha,1.9,1.6,1.6,1.5
2020 / 2021,Melgaço,2.2,2.4,2.3,2.9
2020 / 2021,Monção,1.4,1.6,1.6,1.5
2020 / 2021,Paredes de Coura,2.5,0.9,1.0,1.5
2020 / 2021,Ponte da Barca,1.7,1.5,1.4,2.0
2020 / 2021,Ponte de Lima,1.9,1.3,1.3,2.3
2020 / 2021,Valença,2.3,1.6,2.2,1.9
2020 / 2021,Viana do Castelo,2.0,1.5,1.6,1.8
2020 / 2021,Vila Nova de Cerveira,1.4,1.6,1.6,1.5
2020 / 2021,Cávado,1.8,1.7,1.8,2.0
2020 / 2021,Amares,1.6,1.6,1.6,1.4
2020 / 2021,Barcelos,1.5,1.6,1.7,2.2
2020 / 2021,Braga,2.2,1.9,2.0,2.7
2020 / 2021,Esposende,1.3,1.5,1.5,1.7
2020 / 2021,Terras de Bouro,0.9,0.7,0.7,0.8
2020 / 2021,Vila Verde,1.7,1.3,1.3,0.9
2020 / 2021,Ave,1.7,1.6,1.7,1.8
2020 / 2021,Cabeceiras de Basto,1.3,1.3,1.3,2.1
2020 / 2021,Fafe,1.6,1.6,1.7,1.9
2020 / 2021,Guimarães,2.0,1.5,1.6,1.9
2020 / 2021,Mondim de Basto,0.9,0.9,1.0,1.0
2020 / 2021,Póvoa de Lanhoso,1.2,1.4,1.4,1.5
2020 / 2021,Vieira do Minho,1.4,1.4,2.3,1.5
2020 / 2021,Vila Nova de Famalicão,2.0,1.9,2.0,1.9
2020 / 2021,Vizela,1.3,1.7,2.0,1.9
2020 / 2021,Área Metropolitana do Porto,1.9,1.8,2.0,2.3
2020 / 2021,Arouca,2.0,1.6,1.8,2.1
2020 / 2021,Espinho,2.4,2.1,3.2,3.0
2020 / 2021,Gondomar,1.5,2.0,2.1,2.3
2020 / 2021,Maia,2.5,2.2,2.7,2.9
2020 / 2021,Matosinhos,1.8,1.8,1.9,2.1
2020 / 2021,Oliveira de Azeméis,1.9,1.3,1.4,1.7
2020 / 2021,Paredes,1.6,1.4,1.8,1.7
2020 / 2021,Porto,2.3,2.2,2.3,2.6
2020 / 2021,Póvoa de Varzim,1.9,2.0,1.8,2.2
2020 / 2021,Santa Maria da Feira,1.5,1.5,1.6,1.9
2020 / 2021,Santo Tirso,1.9,1.6,2.0,1.7
2020 / 2021,São João da Madeira,2.0,1.7,1.9,2.1
2020 / 2021,Trofa,1.5,1.8,2.5,4.1
2020 / 2021,Vale de Cambra,2.4,2.1,2.2,2.7
2020 / 2021,Valongo,1.6,1.6,1.9,2.2
2020 / 2021,Vila do Conde,2.0,1.9,2.1,2.4
2020 / 2021,Vila Nova de Gaia,1.9,2.0,2.1,2.6
2020 / 2021,Alto Tâmega,1.4,1.1,1.2,1.6
2020 / 2021,Boticas,0.9,1.0,0.9,
2020 / 2021,Chaves,2.1,1.4,1.6,1.9
2020 / 2021,Montalegre,1.3,0.9,0.9,0.9
2020 / 2021,Ribeira de Pena,0.7,0.9,0.9,1.0
2020 / 2021,Valpaços,1.3,0.8,1.0,1.4
2020 / 2021,Vila Pouca de Aguiar,1.3,1.2,1.3,1.4
2020 / 2021,Tâmega e Sousa,1.5,1.5,1.6,1.8
2020 / 2021,Amarante,2.0,1.6,2.3,2.6
2020 / 2021,Baião,1.5,1.2,1.2,1.6
2020 / 2021,Castelo de Paiva,1.4,1.2,1.6,1.7
2020 / 2021,Celorico de Basto,2.3,1.7,1.9,1.4
2020 / 2021,Cinfães,1.1,0.8,0.9,0.9
2020 / 2021,Felgueiras,1.6,1.4,1.8,1.9
2020 / 2021,Lousada,1.5,1.4,1.6,1.6
2020 / 2021,Marco de Canaveses,1.6,2.2,1.9,1.6
2020 / 2021,Paços de Ferreira,1.7,1.6,1.7,2.4
2020 / 2021,Penafiel,1.4,1.3,1.4,1.9
2020 / 2021,Resende,0.9,2.4,2.6,1.2
2020 / 2021,Douro,1.5,1.4,1.5,1.5
2020 / 2021,Alijó,1.5,0.8,0.8,1.2
2020 / 2021,Armamar,1.6,1.1,1.3,1.3
2020 / 2021,Carrazeda de Ansiães,0.6,0.7,0.8,0.9
2020 / 2021,Freixo de Espada à Cinta,0.6,1.0,1.2,
2020 / 2021,Lamego,1.2,2.5,3.1,2.0
2020 / 2021,Mesão Frio,1.0,0.8,0.8,0.9
2020 / 2021,Moimenta da Beira,1.5,1.0,1.2,1.3
2020 / 2021,Murça,1.4,1.9,1.5,1.4
2020 / 2021,Penedono,1.1,0.6,0.7,
2020 / 2021,Peso da Régua,1.5,1.3,1.7,1.0
2020 / 2021,Sabrosa,1.1,1.3,1.4,1.5
2020 / 2021,Santa Marta de Penaguião,1.0,0.8,0.8,
2020 / 2021,São João da Pesqueira,1.8,1.0,1.2,1.0
2020 / 2021,Sernancelhe,1.5,1.3,1.6,1.3
2020 / 2021,Tabuaço,0.9,0.8,1.0,0.9
2020 / 2021,Tarouca,1.7,1.2,1.2,1.2
2020 / 2021,Torre de Moncorvo,1.9,0.9,1.0,1.1
2020 / 2021,Vila Nova de Foz Côa,1.0,1.0,0.9,1.0
2020 / 2021,Vila Real,2.9,2.7,2.6,2.2
2020 / 2021,Terras de Trás-os-Montes,1.3,1.1,1.3,1.5
2020 / 2021,Alfândega da Fé,1.1,0.7,0.8,1.1
2020 / 2021,Bragança,1.4,1.4,2.0,2.1
2020 / 2021,Macedo de Cavaleiros,1.1,1.0,1.1,1.6
2020 / 2021,Miranda do Douro,1.0,0.7,0.7,0.7
2020 / 2021,Mirandela,1.6,1.5,1.9,1.7
2020 / 2021,Mogadouro,1.3,0.8,0.8,0.8
2020 / 2021,Vila Flor,1.2,0.8,0.8,0.9
2020 / 2021,Vimioso,1.2,0.5,0.5,
2020 / 2021,Vinhais,1.6,0.9,1.0,1.3
2020 / 2021,Centro,2.0,1.8,1.9,2.1
2020 / 2021,Oeste,2.0,1.9,2.2,2.5
2020 / 2021,Alcobaça,2.0,1.8,2.0,1.6
2020 / 2021,Alenquer,1.8,1.9,2.5,3.0
2020 / 2021,Arruda dos Vinhos,2.6,3.4,4.0,3.3
2020 / 2021,Bombarral,1.8,1.9,2.0,2.3
2020 / 2021,Cadaval,1.4,1.6,1.6,2.0
2020 / 2021,Caldas da Rainha,2.1,2.5,2.6,2.2
2020 / 2021,Lourinhã,1.9,1.5,1.7,1.8
2020 / 2021,Nazaré,1.8,2.1,2.4,2.9
2020 / 2021,Óbidos,1.8,1.9,1.7,1.7
2020 / 2021,Peniche,1.8,1.7,1.7,4.3
2020 / 2021,Sobral de Monte Agraço,2.7,1.6,2.0,2.5
2020 / 2021,Torres Vedras,2.2,1.9,2.3,3.2
2020 / 2021,Região de Aveiro,1.9,1.9,1.9,2.4
2020 / 2021,Águeda,1.7,1.5,1.6,1.9
2020 / 2021,Albergaria-a-Velha,1.5,1.6,1.9,2.7
2020 / 2021,Anadia,2.3,2.4,2.5,3.1
2020 / 2021,Aveiro,2.3,2.6,2.3,2.8
2020 / 2021,Estarreja,2.0,1.5,1.5,2.2
2020 / 2021,Ílhavo,2.1,1.9,2.0,2.0
2020 / 2021,Murtosa,2.1,2.0,2.0,2.6
2020 / 2021,Oliveira do Bairro,1.6,1.9,2.4,2.6
2020 / 2021,Ovar,1.8,1.5,1.6,2.0
2020 / 2021,Sever do Vouga,1.2,1.9,1.7,1.4
2020 / 2021,Vagos,2.1,2.0,2.3,2.7
2020 / 2021,Região de Coimbra,2.5,1.9,2.0,2.0
2020 / 2021,Arganil,1.3,1.1,1.1,1.0
2020 / 2021,Cantanhede,3.1,1.7,1.8,2.7
2020 / 2021,Coimbra,3.6,2.4,2.6,2.3
2020 / 2021,Condeixa-a-Nova,2.2,3.6,2.6,1.9
2020 / 2021,Figueira da Foz,2.5,2.1,2.0,2.4
2020 / 2021,Góis,1.1,0.9,1.0,
2020 / 2021,Lousã,1.7,1.9,2.0,1.1
2020 / 2021,Mealhada,3.0,2.2,1.8,2.0
2020 / 2021,Mira,3.2,2.3,1.8,1.7
2020 / 2021,Miranda do Corvo,2.1,1.6,1.6,1.9
2020 / 2021,Montemor-o-Velho,2.9,2.4,2.4,1.9
2020 / 2021,Mortágua,2.3,1.4,1.5,1.4
2020 / 2021,Oliveira do Hospital,1.8,1.3,1.5,1.7
2020 / 2021,Pampilhosa da Serra,1.1,1.0,1.0,1.0
2020 / 2021,Penacova,1.5,1.2,1.4,2.5
2020 / 2021,Penela,1.1,1.0,1.1,0.9
2020 / 2021,Soure,2.4,2.2,1.5,1.4
2020 / 2021,Tábua,1.9,1.2,1.6,1.8
2020 / 2021,Vila Nova de Poiares,1.1,1.2,1.1,1.3
2020 / 2021,Região de Leiria,2.1,2.0,2.2,2.2
2020 / 2021,Alvaiázere,1.3,1.4,1.6,0.9
2020 / 2021,Ansião,1.3,1.8,2.3,1.3
2020 / 2021,Batalha,2.9,2.3,2.6,2.6
2020 / 2021,Castanheira de Pêra,0.8,0.7,0.7,
2020 / 2021,Figueiró dos Vinhos,1.0,0.9,0.9,0.9
2020 / 2021,Leiria,2.1,2.2,2.5,2.8
2020 / 2021,Marinha Grande,2.1,2.0,2.2,2.7
2020 / 2021,Pedrógão Grande,0.9,0.6,0.6,0.9
2020 / 2021,Pombal,2.2,2.3,2.3,2.1
2020 / 2021,Porto de Mós,2.4,2.3,1.7,2.4
2020 / 2021,Viseu Dão Lafões,1.7,1.5,1.7,2.1
2020 / 2021,Aguiar da Beira,2.3,0.9,1.0,1.0
2020 / 2021,Carregal do Sal,1.0,1.0,1.2,1.6
2020 / 2021,Castro Daire,1.5,1.2,1.1,1.3
2020 / 2021,Mangualde,2.2,1.8,1.8,2.0
2020 / 2021,Nelas,2.5,1.3,1.4,1.4
2020 / 2021,Oliveira de Frades,1.2,1.4,1.8,2.0
2020 / 2021,Penalva do Castelo,1.7,1.4,1.0,1.1
2020 / 2021,Santa Comba Dão,1.6,1.1,1.4,1.7
2020 / 2021,São Pedro do Sul,1.8,1.4,1.7,1.8
2020 / 2021,Sátão,1.5,1.0,1.3,2.5
2020 / 2021,Tondela,1.5,1.2,1.2,1.8
2020 / 2021,Vila Nova de Paiva,1.7,1.0,1.2,1.5
2020 / 2021,Viseu,1.8,2.0,2.5,3.0
2020 / 2021,Vouzela,1.6,1.1,1.4,2.3
2020 / 2021,Beira Baixa,1.9,1.6,1.7,1.7
2020 / 2021,Castelo Branco,2.3,1.7,1.9,1.8
2020 / 2021,Idanha-a-Nova,1.2,1.4,1.7,2.3
2020 / 2021,Oleiros,2.2,1.4,1.8,2.2
2020 / 2021,Penamacor,1.3,1.0,0.9,1.0
2020 / 2021,Proença-a-Nova,1.7,1.1,1.2,1.2
2020 / 2021,Vila Velha de Ródão,0.9,1.1,1.3,
2020 / 2021,Médio Tejo,1.7,1.5,1.5,1.9
2020 / 2021,Abrantes,1.1,1.7,1.8,2.2
2020 / 2021,Alcanena,1.8,1.8,1.3,1.4
2020 / 2021,Constância,1.1,1.1,1.1,1.3
2020 / 2021,Entroncamento,1.8,2.3,1.9,1.8
2020 / 2021,Ferreira do Zêzere,1.3,1.2,1.2,1.1
2020 / 2021,Mação,2.1,1.1,0.9,1.2
2020 / 2021,Ourém,2.6,1.5,1.7,2.6
2020 / 2021,Sardoal,2.0,1.0,1.1,1.2
2020 / 2021,Sertã,1.9,2.0,1.9,2.8
2020 / 2021,Tomar,2.0,1.4,1.4,1.7
2020 / 2021,Torres Novas,1.6,1.4,1.5,1.7
2020 / 2021,Vila de Rei,0.9,0.9,1.0,0.8
2020 / 2021,Vila Nova da Barquinha,2.3,1.4,1.7,1.5
2020 / 2021,Beiras e Serra da Estrela,1.9,1.5,1.5,1.7
2020 / 2021,Almeida,1.1,0.8,1.2,1.3
2020 / 2021,Belmonte,1.5,0.8,1.0,1.1
2020 / 2021,Celorico da Beira,1.8,1.1,1.1,1.2
2020 / 2021,Covilhã,2.1,1.7,1.4,1.5
2020 / 2021,Figueira de Castelo Rodrigo,1.7,0.7,0.9,0.8
2020 / 2021,Fornos de Algodres,1.3,0.9,1.2,1.2
2020 / 2021,Fundão,1.8,1.2,1.2,1.3
2020 / 2021,Gouveia,1.2,1.5,1.5,1.8
2020 / 2021,Guarda,2.7,2.6,3.3,2.9
2020 / 2021,Manteigas,1.8,0.9,1.0,1.4
2020 / 2021,Mêda,1.2,0.9,1.0,1.0
2020 / 2021,Pinhel,2.2,0.9,1.2,1.4
2020 / 2021,Sabugal,2.2,1.6,1.4,1.8
2020 / 2021,Seia,1.8,1.4,1.7,2.4
2020 / 2021,Trancoso,1.5,1.2,1.2,1.7
2020 / 2021,Área Metropolitana de Lisboa,2.0,1.9,2.1,2.5
2020 / 2021,Área Metropolitana de Lisboa,2.0,1.9,2.1,2.5
2020 / 2021,Alcochete,2.7,3.2,3.5,4.4
2020 / 2021,Almada,2.0,1.9,2.1,2.3
2020 / 2021,Amadora,1.5,1.5,1.6,1.7
2020 / 2021,Barreiro,1.8,1.8,2.0,1.9
2020 / 2021,Cascais,2.3,2.3,2.7,2.9
2020 / 2021,Lisboa,2.1,2.1,2.2,2.7
2020 / 2021,Loures,1.8,1.7,1.7,2.2
2020 / 2021,Mafra,2.6,2.6,2.7,3.4
2020 / 2021,Moita,1.8,1.6,1.8,2.6
2020 / 2021,Montijo,2.5,2.2,2.4,2.6
2020 / 2021,Odivelas,2.0,2.2,2.3,2.7
2020 / 2021,Oeiras,2.1,1.7,2.5,3.3
2020 / 2021,Palmela,2.0,2.1,2.6,3.6
2020 / 2021,Seixal,2.0,1.7,1.7,1.8
2020 / 2021,Sesimbra,2.1,2.4,2.6,3.6
2020 / 2021,Setúbal,1.8,1.9,2.3,2.6
2020 / 2021,Sintra,2.0,1.6,1.8,2.3
2020 / 2021,Vila Franca de Xira,2.0,2.0,2.2,2.7
2020 / 2021,Alentejo,1.6,1.5,1.7,2.1
2020 / 2021,Alentejo Litoral,1.7,1.6,1.6,2.0
2020 / 2021,Alcácer do Sal,1.1,1.6,1.8,1.9
2020 / 2021,Grândola,1.4,1.7,1.6,1.7
2020 / 2021,Odemira,1.7,1.4,1.5,2.9
2020 / 2021,Santiago do Cacém,2.0,1.7,1.5,1.6
2020 / 2021,Sines,2.4,1.9,1.9,2.0
2020 / 2021,Baixo Alentejo,1.6,1.4,1.6,2.2
2020 / 2021,Aljustrel,1.9,1.4,1.4,1.8
2020 / 2021,Almodôvar,2.4,1.7,1.5,1.5
2020 / 2021,Alvito,2.0,2.2,3.0,5.0
2020 / 2021,Barrancos,0.8,0.9,0.8,
2020 / 2021,Beja,2.1,2.4,2.8,3.2
2020 / 2021,Castro Verde,1.4,1.1,1.9,5.6
2020 / 2021,Cuba,1.0,1.0,1.2,20.0
2020 / 2021,Ferreira do Alentejo,1.5,1.0,1.1,1.5
2020 / 2021,Mértola,1.4,1.1,1.0,1.1
2020 / 2021,Moura,1.4,0.9,1.2,1.6
2020 / 2021,Ourique,1.3,2.0,2.2,2.0
2020 / 2021,Serpa,1.4,1.2,1.1,1.3
2020 / 2021,Vidigueira,1.0,1.1,1.0,2.7
2020 / 2021,Lezíria do Tejo,1.7,1.6,1.7,2.3
2020 / 2021,Almeirim,1.4,1.9,2.0,2.6
2020 / 2021,Alpiarça,2.3,1.2,1.1,1.2
2020 / 2021,Azambuja,1.9,1.6,1.8,2.5
2020 / 2021,Benavente,2.6,2.4,2.5,2.7
2020 / 2021,Cartaxo,1.8,1.6,1.7,2.2
2020 / 2021,Chamusca,1.1,1.5,1.4,1.5
2020 / 2021,Coruche,1.9,1.5,1.4,1.5
2020 / 2021,Golegã,1.3,1.6,1.4,1.6
2020 / 2021,Rio Maior,1.3,1.2,1.3,1.7
2020 / 2021,Salvaterra de Magos,2.3,1.4,1.7,1.9
2020 / 2021,Santarém,1.6,1.6,1.8,3.2
2020 / 2021,Alto Alentejo,1.3,1.3,1.4,1.7
2020 / 2021,Alter do Chão,1.7,0.8,0.8,0.8
2020 / 2021,Arronches,0.8,0.9,0.9,1.2
2020 / 2021,Avis,0.9,0.9,1.1,
2020 / 2021,Campo Maior,1.6,1.5,2.0,2.4
2020 / 2021,Castelo de Vide,2.0,0.8,0.8,
2020 / 2021,Crato,1.6,1.5,1.7,1.9
2020 / 2021,Elvas,1.3,1.5,1.6,1.5
2020 / 2021,Fronteira,1.3,1.1,1.2,
2020 / 2021,Gavião,0.8,0.7,0.8,0.5
2020 / 2021,Marvão,1.0,1.0,1.0,
2020 / 2021,Monforte,1.4,1.3,1.2,
2020 / 2021,Nisa,0.8,0.9,0.9,1.1
2020 / 2021,Ponte de Sor,1.4,1.3,1.6,2.4
2020 / 2021,Portalegre,1.6,2.0,2.0,2.4
2020 / 2021,Sousel,0.9,1.0,1.5,1.1
2020 / 2021,Alentejo Central,1.6,1.7,1.8,2.0
2020 / 2021,Alandroal,1.3,1.2,1.5,
2020 / 2021,Arraiolos,2.0,1.2,1.5,1.2
2020 / 2021,Borba,1.9,1.8,2.4,
2020 / 2021,Estremoz,1.7,1.4,1.9,2.3
2020 / 2021,Évora,2.0,2.0,2.1,2.0
2020 / 2021,Montemor-o-Novo,2.8,2.2,2.4,2.3
2020 / 2021,Mora,1.6,0.9,1.0,1.0
2020 / 2021,Mourão,0.5,0.5,0.5,
2020 / 2021,Portel,0.6,1.4,1.5,1.0
2020 / 2021,Redondo,1.4,1.5,1.5,1.9
2020 / 2021,Reguengos de Monsaraz,2.7,2.0,2.5,3.0
2020 / 2021,Vendas Novas,0.9,2.1,2.0,2.1
2020 / 2021,Viana do Alentejo,1.8,1.8,2.4,2.4
2020 / 2021,Vila Viçosa,2.1,1.7,1.1,1.3
2020 / 2021,Algarve,1.6,1.5,1.7,1.9
2020 / 2021,Algarve,1.6,1.5,1.7,1.9
2020 / 2021,Albufeira,2.8,2.0,2.2,2.6
2020 / 2021,Alcoutim,0.5,0.8,1.0,
2020 / 2021,Aljezur,2.8,2.1,2.1,2.9
2020 / 2021,Castro Marim,1.6,1.5,1.6,
2020 / 2021,Faro,1.4,1.5,1.8,1.5
2020 / 2021,Lagoa,1.3,1.4,1.4,1.5
2020 / 2021,Lagos,1.3,1.5,1.6,1.6
2020 / 2021,Loulé,1.6,1.5,1.6,2.1
2020 / 2021,Monchique,1.3,1.1,1.1,
2020 / 2021,Olhão,1.5,1.3,1.4,1.9
2020 / 2021,Portimão,1.3,1.4,1.6,2.0
2020 / 2021,São Brás de Alportel,1.7,1.4,1.9,2.1
2020 / 2021,Silves,1.8,1.6,1.9,2.0
2020 / 2021,Tavira,1.6,2.3,2.4,3.6
2020 / 2021,Vila do Bispo,2.1,1.7,1.6,
2020 / 2021,Vila Real de Santo António,1.4,1.3,1.7,2.5
2020 / 2021,Região Autónoma dos Açores,,,,
2020 / 2021,Região Autónoma dos Açores,,,,
2020 / 2021,Região Autónoma dos Açores,,,,
2020 / 2021,Angra do Heroísmo,,,,
2020 / 2021,Calheta,,,,
2020 / 2021,Corvo,,,,
2020 / 2021,Horta,,,,
2020 / 2021,Lagoa,,,,
2020 / 2021,Lajes das Flores,,,,
2020 / 2021,Lajes do Pico,,,,
2020 / 2021,Madalena,,,,
2020 / 2021,Nordeste,,,,
2020 / 2021,Ponta Delgada,,,,
2020 / 2021,Povoação,,,,
2020 / 2021,Ribeira Grande,,,,
2020 / 2021,Santa Cruz da Graciosa,,,,
2020 / 2021,Santa Cruz das Flores,,,,
2020 / 2021,São Roque do Pico,,,,
2020 / 2021,Velas,,,,
2020 / 2021,Vila da Praia da Vitória,,,,
2020 / 2021,Vila do Porto,,,,
2020 / 2021,Vila Franca do Campo,,,,
2020 / 2021,Região Autónoma da Madeira,,,,
2020 / 2021,Região Autónoma da Madeira,,,,
2020 / 2021,Região Autónoma da Madeira,,,,
2020 / 2021,Calheta,,,,
2020 / 2021,Câmara de Lobos,,,,
2020 / 2021,Funchal,,,,
2020 / 2021,Machico,,,,
2020 / 2021,Ponta do Sol,,,,
2020 / 2021,Porto Moniz,,,,
2020 / 2021,Porto Santo,,,,
2020 / 2021,Ribeira Brava,,,,
2020 / 2021,Santa Cruz,,,,
2020 / 2021,Santana,,,,
2020 / 2021,São Vicente,,,,
2019 / 2020,Portugal,,,,
2019 / 2020,Continente,5.1,4.2,4.0,3.6
2019 / 2020,Norte,4.6,4.0,3.9,3.6
2019 / 2020,Alto Minho,4.2,3.3,3.2,2.9
2019 / 2020,Arcos de Valdevez,6.2,3.0,2.9,2.6
2019 / 2020,Caminha,6.8,4.0,3.9,2.2
2019 / 2020,Melgaço,6.0,2.0,1.9,1.9
2019 / 2020,Monção,2.9,4.3,2.9,2.2
2019 / 2020,Paredes de Coura,5.0,4.4,4.4,2.4
2019 / 2020,Ponte da Barca,3.2,3.2,3.1,2.6
2019 / 2020,Ponte de Lima,3.3,2.8,2.8,4.2
2019 / 2020,Valença,9.4,2.5,2.5,2.0
2019 / 2020,Viana do Castelo,4.4,3.6,3.5,3.3
2019 / 2020,Vila Nova de Cerveira,2.7,3.9,3.9,2.4
2019 / 2020,Cávado,5.2,3.7,3.5,3.5
2019 / 2020,Amares,8.2,5.2,4.5,4.2
2019 / 2020,Barcelos,5.5,3.8,3.6,3.7
2019 / 2020,Braga,5.8,3.8,3.7,3.6
2019 / 2020,Esposende,3.1,4.1,3.6,3.5
2019 / 2020,Terras de Bouro,1.6,1.4,1.4,1.7
2019 / 2020,Vila Verde,5.1,2.9,2.9,2.9
2019 / 2020,Ave,4.1,4.1,3.9,3.7
2019 / 2020,Cabeceiras de Basto,4.4,6.0,5.9,8.3
2019 / 2020,Fafe,4.9,4.0,3.7,3.9
2019 / 2020,Guimarães,4.6,3.4,3.4,4.5
2019 / 2020,Mondim de Basto,2.2,2.5,2.5,2.5
2019 / 2020,Póvoa de Lanhoso,2.2,4.5,3.9,3.0
2019 / 2020,Vieira do Minho,2.4,3.7,3.7,3.8
2019 / 2020,Vila Nova de Famalicão,5.3,5.0,4.6,3.2
2019 / 2020,Vizela,2.2,5.0,4.1,3.0
2019 / 2020,Área Metropolitana do Porto,4.7,4.5,4.3,3.8
2019 / 2020,Arouca,6.7,3.4,4.4,4.5
2019 / 2020,Espinho,6.3,4.1,4.9,4.3
2019 / 2020,Gondomar,3.6,4.7,4.3,3.9
2019 / 2020,Maia,4.3,4.6,5.2,5.5
2019 / 2020,Matosinhos,4.2,4.2,3.6,2.8
2019 / 2020,Oliveira de Azeméis,4.2,2.8,2.8,3.2
2019 / 2020,Paredes,6.8,7.2,5.4,5.3
2019 / 2020,Porto,5.4,4.7,4.6,4.0
2019 / 2020,Póvoa de Varzim,8.4,5.7,5.6,4.9
2019 / 2020,Santa Maria da Feira,2.3,2.8,2.9,3.1
2019 / 2020,Santo Tirso,5.4,3.7,4.0,2.5
2019 / 2020,São João da Madeira,3.8,4.7,4.3,3.9
2019 / 2020,Trofa,5.8,5.1,6.0,8.1
2019 / 2020,Vale de Cambra,9.0,3.5,3.5,3.6
2019 / 2020,Valongo,5.7,5.6,5.0,4.9
2019 / 2020,Vila do Conde,8.0,4.7,4.7,4.0
2019 / 2020,Vila Nova de Gaia,5.2,5.5,4.4,3.8
2019 / 2020,Alto Tâmega,4.2,2.7,2.8,2.9
2019 / 2020,Boticas,,2.0,2.0,
2019 / 2020,Chaves,4.3,3.0,3.7,3.5
2019 / 2020,Montalegre,2.3,1.7,1.7,1.8
2019 / 2020,Ribeira de Pena,10.2,2.1,2.1,2.3
2019 / 2020,Valpaços,6.1,3.1,2.8,2.6
2019 / 2020,Vila Pouca de Aguiar,2.5,2.5,2.5,2.3
2019 / 2020,Tâmega e Sousa,5.2,4.4,4.5,4.8
2019 / 2020,Amarante,10.8,5.1,4.4,4.6
2019 / 2020,Baião,5.1,4.3,4.3,5.6
2019 / 2020,Castelo de Paiva,12.0,7.6,6.6,13.8
2019 / 2020,Celorico de Basto,8.2,4.3,4.3,2.2
2019 / 2020,Cinfães,8.1,2.5,2.4,2.6
2019 / 2020,Felgueiras,5.2,5.1,5.0,4.4
2019 / 2020,Lousada,4.3,5.1,8.4,18.2
2019 / 2020,Marco de Canaveses,8.2,4.8,4.6,4.0
2019 / 2020,Paços de Ferreira,5.1,3.7,3.9,4.7
2019 / 2020,Penafiel,3.3,3.8,3.8,5.2
2019 / 2020,Resende,2.1,4.0,5.2,5.2
2019 / 2020,Douro,4.2,2.8,2.7,2.7
2019 / 2020,Alijó,4.9,1.6,1.7,2.5
2019 / 2020,Armamar,3.0,3.5,3.5,3.5
2019 / 2020,Carrazeda de Ansiães,1.0,1.5,1.5,1.4
2019 / 2020,Freixo de Espada à Cinta,12.6,1.8,1.8,
2019 / 2020,Lamego,2.2,3.3,4.1,4.0
2019 / 2020,Mesão Frio,2.3,1.6,1.6,1.6
2019 / 2020,Moimenta da Beira,7.5,2.4,2.3,2.2
2019 / 2020,Murça,4.0,2.0,2.0,2.4
2019 / 2020,Penedono,2.6,0.9,0.9,
2019 / 2020,Peso da Régua,8.5,3.3,4.1,2.7
2019 / 2020,Sabrosa,3.3,2.4,2.4,2.4
2019 / 2020,Santa Marta de Penaguião,9.5,2.0,1.9,
2019 / 2020,São João da Pesqueira,5.3,2.5,2.1,1.1
2019 / 2020,Sernancelhe,4.0,4.1,4.1,1.5
2019 / 2020,Tabuaço,1.7,1.7,1.7,1.7
2019 / 2020,Tarouca,4.9,2.2,2.2,2.2
2019 / 2020,Torre de Moncorvo,4.4,1.8,1.8,1.8
2019 / 2020,Vila Nova de Foz Côa,1.8,1.7,1.7,1.7
2019 / 2020,Vila Real,10.1,6.2,4.5,3.9
2019 / 2020,Terras de Trás-os-Montes,3.4,2.0,2.3,2.5
2019 / 2020,Alfândega da Fé,9.0,1.3,1.3,1.3
2019 / 2020,Bragança,3.0,2.0,2.9,3.4
2019 / 2020,Macedo de Cavaleiros,2.7,2.9,2.9,2.7
2019 / 2020,Miranda do Douro,1.8,1.1,1.1,0.9
2019 / 2020,Mirandela,4.0,3.8,3.7,3.0
2019 / 2020,Mogadouro,3.2,1.5,1.5,1.5
2019 / 2020,Vila Flor,7.5,1.4,1.4,1.4
2019 / 2020,Vimioso,12.8,0.8,0.8,
2019 / 2020,Vinhais,4.7,3.5,3.4,3.4
2019 / 2020,Centro,4.9,4.0,3.7,3.4
2019 / 2020,Oeste,6.0,5.0,4.8,3.9
2019 / 2020,Alcobaça,5.9,4.0,4.1,3.0
2019 / 2020,Alenquer,6.8,6.6,6.3,5.2
2019 / 2020,Arruda dos Vinhos,4.1,4.0,3.7,2.8
2019 / 2020,Bombarral,5.5,4.6,4.6,4.6
2019 / 2020,Cadaval,3.6,2.9,2.9,2.9
2019 / 2020,Caldas da Rainha,5.6,8.0,5.7,4.0
2019 / 2020,Lourinhã,13.5,5.2,5.1,3.0
2019 / 2020,Nazaré,7.4,6.4,6.9,5.5
2019 / 2020,Óbidos,5.3,5.2,8.1,7.9
2019 / 2020,Peniche,7.6,4.0,3.7,2.1
2019 / 2020,Sobral de Monte Agraço,10.8,4.8,4.8,4.8
2019 / 2020,Torres Vedras,5.5,5.1,5.2,5.3
2019 / 2020,Região de Aveiro,4.7,4.6,4.1,3.9
2019 / 2020,Águeda,4.2,4.2,3.6,3.7
2019 / 2020,Albergaria-a-Velha,4.0,6.9,5.5,5.4
2019 / 2020,Anadia,5.3,5.9,5.8,5.6
2019 / 2020,Aveiro,5.5,5.1,4.3,4.9
2019 / 2020,Estarreja,4.9,4.2,3.9,4.4
