year,region,proportion_STEM_higher_ed
2016 / 2017,Arouca,
2016 / 2017,Espinho,
2016 / 2017,Gondomar,
2016 / 2017,Maia,6.3
2016 / 2017,Matosinhos,
2016 / 2017,Oliveira de Azeméis,29.4
2016 / 2017,Paredes,13.1
2016 / 2017,Porto,35.5
2016 / 2017,Póvoa de Varzim,
2016 / 2017,Santa Maria da Feira,19.8
2016 / 2017,Santo Tirso,
2016 / 2017,São João da Madeira,
2016 / 2017,Trofa,
2016 / 2017,Vale de Cambra,
2016 / 2017,Valongo,
2016 / 2017,Vila do Conde,9.6
2016 / 2017,Vila Nova de Gaia,9.8
2016 / 2017,Alto Tâmega,
2016 / 2017,Boticas,
2016 / 2017,Chaves,
2016 / 2017,Montalegre,
2016 / 2017,Ribeira de Pena,
2016 / 2017,Valpaços,
2016 / 2017,Vila Pouca de Aguiar,
2016 / 2017,Tâmega e Sousa,33.8
2016 / 2017,Amarante,
2016 / 2017,Baião,
2016 / 2017,Castelo de Paiva,
2016 / 2017,Celorico de Basto,
2016 / 2017,Cinfães,
2016 / 2017,Felgueiras,36.7
2016 / 2017,Lousada,
2016 / 2017,Marco de Canaveses,
2016 / 2017,Paços de Ferreira,
2016 / 2017,Penafiel,
2016 / 2017,Resende,
2016 / 2017,Douro,30.2
2016 / 2017,Alijó,
2016 / 2017,Armamar,
2016 / 2017,Carrazeda de Ansiães,
2016 / 2017,Freixo de Espada à Cinta,
2016 / 2017,Lamego,12.2
2016 / 2017,Mesão Frio,
2016 / 2017,Moimenta da Beira,
2016 / 2017,Murça,
2016 / 2017,Penedono,
2016 / 2017,Peso da Régua,
2016 / 2017,Sabrosa,
2016 / 2017,Santa Marta de Penaguião,
2016 / 2017,São João da Pesqueira,
2016 / 2017,Sernancelhe,
2016 / 2017,Tabuaço,
2016 / 2017,Tarouca,
2016 / 2017,Torre de Moncorvo,
2016 / 2017,Vila Nova de Foz Côa,
2016 / 2017,Vila Real,31.7
2016 / 2017,Terras de Trás-os-Montes,25.8
2016 / 2017,Alfândega da Fé,
2016 / 2017,Bragança,28.9
2016 / 2017,Macedo de Cavaleiros,
2016 / 2017,Miranda do Douro,
2016 / 2017,Mirandela,8.7
2016 / 2017,Mogadouro,
2016 / 2017,Vila Flor,
2016 / 2017,Vimioso,
2016 / 2017,Vinhais,
2016 / 2017,Centro,31.4
2016 / 2017,Oeste,9.0
2016 / 2017,Alcobaça,
2016 / 2017,Alenquer,
2016 / 2017,Arruda dos Vinhos,
2016 / 2017,Bombarral,
2016 / 2017,Cadaval,
2016 / 2017,Caldas da Rainha,
2016 / 2017,Lourinhã,
2016 / 2017,Nazaré,
2016 / 2017,Óbidos,
2016 / 2017,Peniche,20.1
2016 / 2017,Sobral de Monte Agraço,
2016 / 2017,Torres Vedras,
2016 / 2017,Região de Aveiro,48.1
2016 / 2017,Águeda,47.4
2016 / 2017,Albergaria-a-Velha,
2016 / 2017,Anadia,
2016 / 2017,Aveiro,48.1
2016 / 2017,Estarreja,
2016 / 2017,Ílhavo,
2016 / 2017,Murtosa,
2016 / 2017,Oliveira do Bairro,
2016 / 2017,Ovar,
2016 / 2017,Sever do Vouga,
2016 / 2017,Vagos,
2016 / 2017,Região de Coimbra,29.4
2016 / 2017,Arganil,
2016 / 2017,Cantanhede,
2016 / 2017,Coimbra,29.4
2016 / 2017,Condeixa-a-Nova,
2016 / 2017,Figueira da Foz,
2016 / 2017,Góis,
2016 / 2017,Lousã,
2016 / 2017,Mealhada,
2016 / 2017,Mira,
2016 / 2017,Miranda do Corvo,
2016 / 2017,Montemor-o-Velho,
2016 / 2017,Mortágua,
2016 / 2017,Oliveira do Hospital,32.2
2016 / 2017,Pampilhosa da Serra,
2016 / 2017,Penacova,
2016 / 2017,Penela,
2016 / 2017,Soure,
2016 / 2017,Tábua,
2016 / 2017,Vila Nova de Poiares,
2016 / 2017,Região de Leiria,35.0
2016 / 2017,Alvaiázere,
2016 / 2017,Ansião,
2016 / 2017,Batalha,
2016 / 2017,Castanheira de Pêra,
2016 / 2017,Figueiró dos Vinhos,
2016 / 2017,Leiria,34.8
2016 / 2017,Marinha Grande,63.2
2016 / 2017,Pedrógão Grande,
2016 / 2017,Pombal,
2016 / 2017,Porto de Mós,
2016 / 2017,Viseu Dão Lafões,20.7
2016 / 2017,Aguiar da Beira,
2016 / 2017,Carregal do Sal,
2016 / 2017,Castro Daire,
2016 / 2017,Mangualde,
2016 / 2017,Nelas,
2016 / 2017,Oliveira de Frades,
2016 / 2017,Penalva do Castelo,
2016 / 2017,Santa Comba Dão,
2016 / 2017,São Pedro do Sul,
2016 / 2017,Sátão,
2016 / 2017,Tondela,
2016 / 2017,Vila Nova de Paiva,
2016 / 2017,Viseu,20.7
2016 / 2017,Vouzela,
2016 / 2017,Beira Baixa,18.5
2016 / 2017,Castelo Branco,20.8
2016 / 2017,Idanha-a-Nova,
2016 / 2017,Oleiros,
2016 / 2017,Penamacor,
2016 / 2017,Proença-a-Nova,
2016 / 2017,Vila Velha de Ródão,
2016 / 2017,Médio Tejo,37.0
2016 / 2017,Abrantes,50.8
2016 / 2017,Alcanena,
2016 / 2017,Constância,
2016 / 2017,Entroncamento,
2016 / 2017,Ferreira do Zêzere,
2016 / 2017,Mação,
2016 / 2017,Ourém,
2016 / 2017,Sardoal,
2016 / 2017,Sertã,
2016 / 2017,Tomar,34.4
2016 / 2017,Torres Novas,
2016 / 2017,Vila de Rei,
2016 / 2017,Vila Nova da Barquinha,
2016 / 2017,Beiras e Serra da Estrela,30.1
2016 / 2017,Almeida,
2016 / 2017,Belmonte,
2016 / 2017,Celorico da Beira,
2016 / 2017,Covilhã,34.7
2016 / 2017,Figueira de Castelo Rodrigo,
2016 / 2017,Fornos de Algodres,
2016 / 2017,Fundão,
2016 / 2017,Gouveia,
2016 / 2017,Guarda,20.6
2016 / 2017,Manteigas,
2016 / 2017,Mêda,
2016 / 2017,Pinhel,
2016 / 2017,Sabugal,
2016 / 2017,Seia,
2016 / 2017,Trancoso,
2016 / 2017,Área Metropolitana de Lisboa,30.0
2016 / 2017,Área Metropolitana de Lisboa,30.0
2016 / 2017,Alcochete,
2016 / 2017,Almada,74.0
2016 / 2017,Amadora,
2016 / 2017,Barreiro,100.0
2016 / 2017,Cascais,
2016 / 2017,Lisboa,25.7
2016 / 2017,Loures,
2016 / 2017,Mafra,
2016 / 2017,Moita,
2016 / 2017,Montijo,
2016 / 2017,Odivelas,
2016 / 2017,Oeiras,47.4
2016 / 2017,Palmela,
2016 / 2017,Seixal,
2016 / 2017,Sesimbra,
2016 / 2017,Setúbal,37.9
2016 / 2017,Sintra,
2016 / 2017,Vila Franca de Xira,
2016 / 2017,Alentejo,18.6
2016 / 2017,Alentejo Litoral,100.0
2016 / 2017,Alcácer do Sal,
2016 / 2017,Grândola,
2016 / 2017,Odemira,
2016 / 2017,Santiago do Cacém,100.0
2016 / 2017,Sines,
2016 / 2017,Baixo Alentejo,17.7
2016 / 2017,Aljustrel,
2016 / 2017,Almodôvar,
2016 / 2017,Alvito,
2016 / 2017,Barrancos,
2016 / 2017,Beja,17.7
2016 / 2017,Castro Verde,
2016 / 2017,Cuba,
2016 / 2017,Ferreira do Alentejo,
2016 / 2017,Mértola,
2016 / 2017,Moura,
2016 / 2017,Ourique,
2016 / 2017,Serpa,
2016 / 2017,Vidigueira,
2016 / 2017,Lezíria do Tejo,8.8
2016 / 2017,Almeirim,
2016 / 2017,Alpiarça,
2016 / 2017,Azambuja,
2016 / 2017,Benavente,
2016 / 2017,Cartaxo,
2016 / 2017,Chamusca,
2016 / 2017,Coruche,
2016 / 2017,Golegã,
2016 / 2017,Rio Maior,
2016 / 2017,Salvaterra de Magos,
2016 / 2017,Santarém,11.5
2016 / 2017,Alto Alentejo,6.9
2016 / 2017,Alter do Chão,
2016 / 2017,Arronches,
2016 / 2017,Avis,
2016 / 2017,Campo Maior,
2016 / 2017,Castelo de Vide,
2016 / 2017,Crato,
2016 / 2017,Elvas,
2016 / 2017,Fronteira,
2016 / 2017,Gavião,
2016 / 2017,Marvão,
2016 / 2017,Monforte,
2016 / 2017,Nisa,
2016 / 2017,Ponte de Sor,
2016 / 2017,Portalegre,8.5
2016 / 2017,Sousel,
2016 / 2017,Alentejo Central,27.2
2016 / 2017,Alandroal,
2016 / 2017,Arraiolos,
2016 / 2017,Borba,
2016 / 2017,Estremoz,
2016 / 2017,Évora,27.2
2016 / 2017,Montemor-o-Novo,
2016 / 2017,Mora,
2016 / 2017,Mourão,
2016 / 2017,Portel,
2016 / 2017,Redondo,
2016 / 2017,Reguengos de Monsaraz,
2016 / 2017,Vendas Novas,
2016 / 2017,Viana do Alentejo,
2016 / 2017,Vila Viçosa,
2016 / 2017,Algarve,26.7
2016 / 2017,Algarve,26.7
2016 / 2017,Albufeira,
2016 / 2017,Alcoutim,
2016 / 2017,Aljezur,
2016 / 2017,Castro Marim,
2016 / 2017,Faro,28.1
2016 / 2017,Lagoa,
2016 / 2017,Lagos,
2016 / 2017,Loulé,
2016 / 2017,Monchique,
2016 / 2017,Olhão,
2016 / 2017,Portimão,13.9
2016 / 2017,São Brás de Alportel,
2016 / 2017,Silves,
2016 / 2017,Tavira,
2016 / 2017,Vila do Bispo,
2016 / 2017,Vila Real de Santo António,
2016 / 2017,Região Autónoma dos Açores,22.5
2016 / 2017,Região Autónoma dos Açores,22.5
2016 / 2017,Região Autónoma dos Açores,22.5
2016 / 2017,Angra do Heroísmo,31.2
2016 / 2017,Calheta,
2016 / 2017,Corvo,
2016 / 2017,Horta,
2016 / 2017,Lagoa,
2016 / 2017,Lajes das Flores,
2016 / 2017,Lajes do Pico,
2016 / 2017,Madalena,
2016 / 2017,Nordeste,
2016 / 2017,Ponta Delgada,20.7
2016 / 2017,Povoação,
2016 / 2017,Ribeira Grande,
2016 / 2017,Santa Cruz da Graciosa,
2016 / 2017,Santa Cruz das Flores,
2016 / 2017,São Roque do Pico,
2016 / 2017,Velas,
2016 / 2017,Vila da Praia da Vitória,
2016 / 2017,Vila do Porto,
2016 / 2017,Vila Franca do Campo,
2016 / 2017,Região Autónoma da Madeira,21.4
2016 / 2017,Região Autónoma da Madeira,21.4
2016 / 2017,Região Autónoma da Madeira,21.4
2016 / 2017,Calheta,
2016 / 2017,Câmara de Lobos,
2016 / 2017,Funchal,21.4
2016 / 2017,Machico,
2016 / 2017,Ponta do Sol,
2016 / 2017,Porto Moniz,
2016 / 2017,Porto Santo,
2016 / 2017,Ribeira Brava,
2016 / 2017,Santa Cruz,
2016 / 2017,Santana,
2016 / 2017,São Vicente,
2015 / 2016,Portugal,30.0
2015 / 2016,Continente,30.2
2015 / 2016,Norte,30.9
2015 / 2016,Alto Minho,29.2
2015 / 2016,Arcos de Valdevez,
2015 / 2016,Caminha,
2015 / 2016,Melgaço,
2015 / 2016,Monção,
2015 / 2016,Paredes de Coura,
2015 / 2016,Ponte da Barca,
2015 / 2016,Ponte de Lima,23.2
2015 / 2016,Valença,
2015 / 2016,Viana do Castelo,32.6
2015 / 2016,Vila Nova de Cerveira,88.5
2015 / 2016,Cávado,38.8
2015 / 2016,Amares,
2015 / 2016,Barcelos,23.6
2015 / 2016,Braga,41.9
2015 / 2016,Esposende,
2015 / 2016,Terras de Bouro,
2015 / 2016,Vila Verde,
2015 / 2016,Ave,18.9
2015 / 2016,Cabeceiras de Basto,
2015 / 2016,Fafe,5.1
2015 / 2016,Guimarães,
2015 / 2016,Mondim de Basto,
2015 / 2016,Póvoa de Lanhoso,
2015 / 2016,Vieira do Minho,
2015 / 2016,Vila Nova de Famalicão,25.6
2015 / 2016,Vizela,
2015 / 2016,Área Metropolitana do Porto,29.2
2015 / 2016,Arouca,
2015 / 2016,Espinho,
2015 / 2016,Gondomar,
2015 / 2016,Maia,6.0
2015 / 2016,Matosinhos,
2015 / 2016,Oliveira de Azeméis,17.1
2015 / 2016,Paredes,10.2
2015 / 2016,Porto,35.7
2015 / 2016,Póvoa de Varzim,
2015 / 2016,Santa Maria da Feira,17.6
2015 / 2016,Santo Tirso,
2015 / 2016,São João da Madeira,
2015 / 2016,Trofa,
2015 / 2016,Vale de Cambra,
2015 / 2016,Valongo,
2015 / 2016,Vila do Conde,22.8
2015 / 2016,Vila Nova de Gaia,7.9
2015 / 2016,Alto Tâmega,
2015 / 2016,Boticas,
2015 / 2016,Chaves,
2015 / 2016,Montalegre,
2015 / 2016,Ribeira de Pena,
2015 / 2016,Valpaços,
2015 / 2016,Vila Pouca de Aguiar,
2015 / 2016,Tâmega e Sousa,31.5
2015 / 2016,Amarante,
2015 / 2016,Baião,
2015 / 2016,Castelo de Paiva,
2015 / 2016,Celorico de Basto,
2015 / 2016,Cinfães,
2015 / 2016,Felgueiras,34.2
2015 / 2016,Lousada,
2015 / 2016,Marco de Canaveses,
2015 / 2016,Paços de Ferreira,
2015 / 2016,Penafiel,
2015 / 2016,Resende,
2015 / 2016,Douro,32.3
2015 / 2016,Alijó,
2015 / 2016,Armamar,
2015 / 2016,Carrazeda de Ansiães,
2015 / 2016,Freixo de Espada à Cinta,
2015 / 2016,Lamego,13.8
2015 / 2016,Mesão Frio,
2015 / 2016,Moimenta da Beira,
2015 / 2016,Murça,
2015 / 2016,Penedono,
2015 / 2016,Peso da Régua,
2015 / 2016,Sabrosa,
2015 / 2016,Santa Marta de Penaguião,
2015 / 2016,São João da Pesqueira,
2015 / 2016,Sernancelhe,
2015 / 2016,Tabuaço,
2015 / 2016,Tarouca,
2015 / 2016,Torre de Moncorvo,
2015 / 2016,Vila Nova de Foz Côa,
2015 / 2016,Vila Real,33.5
2015 / 2016,Terras de Trás-os-Montes,26.0
2015 / 2016,Alfândega da Fé,
2015 / 2016,Bragança,29.0
2015 / 2016,Macedo de Cavaleiros,
2015 / 2016,Miranda do Douro,
2015 / 2016,Mirandela,9.5
2015 / 2016,Mogadouro,
2015 / 2016,Vila Flor,
2015 / 2016,Vimioso,
2015 / 2016,Vinhais,
2015 / 2016,Centro,31.2
2015 / 2016,Oeste,9.4
2015 / 2016,Alcobaça,
2015 / 2016,Alenquer,
2015 / 2016,Arruda dos Vinhos,
2015 / 2016,Bombarral,
2015 / 2016,Cadaval,
2015 / 2016,Caldas da Rainha,
2015 / 2016,Lourinhã,
2015 / 2016,Nazaré,
2015 / 2016,Óbidos,
2015 / 2016,Peniche,20.9
2015 / 2016,Sobral de Monte Agraço,
2015 / 2016,Torres Vedras,3.4
2015 / 2016,Região de Aveiro,47.4
2015 / 2016,Águeda,44.3
2015 / 2016,Albergaria-a-Velha,
2015 / 2016,Anadia,
2015 / 2016,Aveiro,47.6
2015 / 2016,Estarreja,
2015 / 2016,Ílhavo,
2015 / 2016,Murtosa,
2015 / 2016,Oliveira do Bairro,
2015 / 2016,Ovar,
2015 / 2016,Sever do Vouga,
2015 / 2016,Vagos,
2015 / 2016,Região de Coimbra,29.0
2015 / 2016,Arganil,
2015 / 2016,Cantanhede,
2015 / 2016,Coimbra,29.0
2015 / 2016,Condeixa-a-Nova,
2015 / 2016,Figueira da Foz,
2015 / 2016,Góis,
2015 / 2016,Lousã,
2015 / 2016,Mealhada,
2015 / 2016,Mira,
2015 / 2016,Miranda do Corvo,
2015 / 2016,Montemor-o-Velho,
2015 / 2016,Mortágua,
2015 / 2016,Oliveira do Hospital,30.4
2015 / 2016,Pampilhosa da Serra,
2015 / 2016,Penacova,
2015 / 2016,Penela,
2015 / 2016,Soure,
2015 / 2016,Tábua,
2015 / 2016,Vila Nova de Poiares,
2015 / 2016,Região de Leiria,34.1
2015 / 2016,Alvaiázere,
2015 / 2016,Ansião,
2015 / 2016,Batalha,
2015 / 2016,Castanheira de Pêra,
2015 / 2016,Figueiró dos Vinhos,
2015 / 2016,Leiria,34.0
2015 / 2016,Marinha Grande,49.4
2015 / 2016,Pedrógão Grande,
2015 / 2016,Pombal,
2015 / 2016,Porto de Mós,
2015 / 2016,Viseu Dão Lafões,20.9
2015 / 2016,Aguiar da Beira,
2015 / 2016,Carregal do Sal,
2015 / 2016,Castro Daire,
2015 / 2016,Mangualde,
2015 / 2016,Nelas,
2015 / 2016,Oliveira de Frades,
2015 / 2016,Penalva do Castelo,
2015 / 2016,Santa Comba Dão,
2015 / 2016,São Pedro do Sul,
2015 / 2016,Sátão,
2015 / 2016,Tondela,
2015 / 2016,Vila Nova de Paiva,
2015 / 2016,Viseu,20.9
2015 / 2016,Vouzela,
2015 / 2016,Beira Baixa,21.2
2015 / 2016,Castelo Branco,23.7
2015 / 2016,Idanha-a-Nova,
2015 / 2016,Oleiros,
2015 / 2016,Penamacor,
2015 / 2016,Proença-a-Nova,
2015 / 2016,Vila Velha de Ródão,
2015 / 2016,Médio Tejo,35.5
2015 / 2016,Abrantes,55.0
2015 / 2016,Alcanena,
2015 / 2016,Constância,
2015 / 2016,Entroncamento,
2015 / 2016,Ferreira do Zêzere,
2015 / 2016,Mação,
2015 / 2016,Ourém,
2015 / 2016,Sardoal,
2015 / 2016,Sertã,
2015 / 2016,Tomar,32.0
2015 / 2016,Torres Novas,
2015 / 2016,Vila de Rei,
2015 / 2016,Vila Nova da Barquinha,
2015 / 2016,Beiras e Serra da Estrela,29.6
2015 / 2016,Almeida,
2015 / 2016,Belmonte,
2015 / 2016,Celorico da Beira,
2015 / 2016,Covilhã,34.5
2015 / 2016,Figueira de Castelo Rodrigo,
2015 / 2016,Fornos de Algodres,
2015 / 2016,Fundão,
2015 / 2016,Gouveia,
2015 / 2016,Guarda,18.8
2015 / 2016,Manteigas,
2015 / 2016,Mêda,
2015 / 2016,Pinhel,
2015 / 2016,Sabugal,
2015 / 2016,Seia,
2015 / 2016,Trancoso,
2015 / 2016,Área Metropolitana de Lisboa,30.2
2015 / 2016,Área Metropolitana de Lisboa,30.2
2015 / 2016,Alcochete,
2015 / 2016,Almada,73.6
2015 / 2016,Amadora,
2015 / 2016,Barreiro,100.0
2015 / 2016,Cascais,
2015 / 2016,Lisboa,26.0
2015 / 2016,Loures,
2015 / 2016,Mafra,
2015 / 2016,Moita,
2015 / 2016,Montijo,
2015 / 2016,Odivelas,
2015 / 2016,Oeiras,47.7
2015 / 2016,Palmela,
2015 / 2016,Seixal,
2015 / 2016,Sesimbra,
2015 / 2016,Setúbal,37.3
2015 / 2016,Sintra,
2015 / 2016,Vila Franca de Xira,
2015 / 2016,Alentejo,19.0
2015 / 2016,Alentejo Litoral,96.6
2015 / 2016,Alcácer do Sal,
2015 / 2016,Grândola,
2015 / 2016,Odemira,
2015 / 2016,Santiago do Cacém,96.6
2015 / 2016,Sines,
2015 / 2016,Baixo Alentejo,19.6
2015 / 2016,Aljustrel,
2015 / 2016,Almodôvar,
2015 / 2016,Alvito,
2015 / 2016,Barrancos,
2015 / 2016,Beja,19.6
2015 / 2016,Castro Verde,
2015 / 2016,Cuba,
2015 / 2016,Ferreira do Alentejo,
2015 / 2016,Mértola,
2015 / 2016,Moura,
2015 / 2016,Ourique,
2015 / 2016,Serpa,
2015 / 2016,Vidigueira,
2015 / 2016,Lezíria do Tejo,9.4
2015 / 2016,Almeirim,
2015 / 2016,Alpiarça,
2015 / 2016,Azambuja,
2015 / 2016,Benavente,
2015 / 2016,Cartaxo,
2015 / 2016,Chamusca,
2015 / 2016,Coruche,
2015 / 2016,Golegã,
2015 / 2016,Rio Maior,
2015 / 2016,Salvaterra de Magos,
2015 / 2016,Santarém,12.3
2015 / 2016,Alto Alentejo,6.0
2015 / 2016,Alter do Chão,
2015 / 2016,Arronches,
2015 / 2016,Avis,
2015 / 2016,Campo Maior,
2015 / 2016,Castelo de Vide,
2015 / 2016,Crato,
2015 / 2016,Elvas,
2015 / 2016,Fronteira,
2015 / 2016,Gavião,
2015 / 2016,Marvão,
2015 / 2016,Monforte,
2015 / 2016,Nisa,
2015 / 2016,Ponte de Sor,
2015 / 2016,Portalegre,7.3
2015 / 2016,Sousel,
2015 / 2016,Alentejo Central,28.1
2015 / 2016,Alandroal,
2015 / 2016,Arraiolos,
2015 / 2016,Borba,
2015 / 2016,Estremoz,
2015 / 2016,Évora,28.1
2015 / 2016,Montemor-o-Novo,
2015 / 2016,Mora,
2015 / 2016,Mourão,
2015 / 2016,Portel,
2015 / 2016,Redondo,
2015 / 2016,Reguengos de Monsaraz,
2015 / 2016,Vendas Novas,
2015 / 2016,Viana do Alentejo,
2015 / 2016,Vila Viçosa,
2015 / 2016,Algarve,27.3
2015 / 2016,Algarve,27.3
2015 / 2016,Albufeira,
2015 / 2016,Alcoutim,
2015 / 2016,Aljezur,
2015 / 2016,Castro Marim,
2015 / 2016,Faro,29.0
2015 / 2016,Lagoa,
2015 / 2016,Lagos,
2015 / 2016,Loulé,5.4
2015 / 2016,Monchique,
2015 / 2016,Olhão,
2015 / 2016,Portimão,15.0
2015 / 2016,São Brás de Alportel,
2015 / 2016,Silves,
2015 / 2016,Tavira,
2015 / 2016,Vila do Bispo,
2015 / 2016,Vila Real de Santo António,
2015 / 2016,Região Autónoma dos Açores,22.5
2015 / 2016,Região Autónoma dos Açores,22.5
2015 / 2016,Região Autónoma dos Açores,22.5
2015 / 2016,Angra do Heroísmo,29.8
2015 / 2016,Calheta,
2015 / 2016,Corvo,
2015 / 2016,Horta,100.0
2015 / 2016,Lagoa,
2015 / 2016,Lajes das Flores,
2015 / 2016,Lajes do Pico,
2015 / 2016,Madalena,
2015 / 2016,Nordeste,
2015 / 2016,Ponta Delgada,20.4
2015 / 2016,Povoação,
2015 / 2016,Ribeira Grande,
2015 / 2016,Santa Cruz da Graciosa,
2015 / 2016,Santa Cruz das Flores,
2015 / 2016,São Roque do Pico,
2015 / 2016,Velas,
2015 / 2016,Vila da Praia da Vitória,
2015 / 2016,Vila do Porto,
2015 / 2016,Vila Franca do Campo,
2015 / 2016,Região Autónoma da Madeira,22.4
2015 / 2016,Região Autónoma da Madeira,22.4
2015 / 2016,Região Autónoma da Madeira,22.4
2015 / 2016,Calheta,
2015 / 2016,Câmara de Lobos,
2015 / 2016,Funchal,22.4
2015 / 2016,Machico,
2015 / 2016,Ponta do Sol,
2015 / 2016,Porto Moniz,
2015 / 2016,Porto Santo,
2015 / 2016,Ribeira Brava,
2015 / 2016,Santa Cruz,
2015 / 2016,Santana,
2015 / 2016,São Vicente,
2014 / 2015,Portugal,29.8
2014 / 2015,Continente,29.9
2014 / 2015,Norte,31.0
2014 / 2015,Alto Minho,28.3
2014 / 2015,Arcos de Valdevez,
2014 / 2015,Caminha,
2014 / 2015,Melgaço,
2014 / 2015,Monção,
2014 / 2015,Paredes de Coura,
2014 / 2015,Ponte da Barca,
2014 / 2015,Ponte de Lima,25.4
2014 / 2015,Valença,3.5
2014 / 2015,Viana do Castelo,29.4
2014 / 2015,Vila Nova de Cerveira,92.1
2014 / 2015,Cávado,38.1
2014 / 2015,Amares,
2014 / 2015,Barcelos,20.3
2014 / 2015,Braga,41.2
2014 / 2015,Esposende,
2014 / 2015,Terras de Bouro,
2014 / 2015,Vila Verde,
2014 / 2015,Ave,19.1
2014 / 2015,Cabeceiras de Basto,
2014 / 2015,Fafe,4.6
2014 / 2015,Guimarães,
2014 / 2015,Mondim de Basto,
2014 / 2015,Póvoa de Lanhoso,
2014 / 2015,Vieira do Minho,
2014 / 2015,Vila Nova de Famalicão,24.9
2014 / 2015,Vizela,
2014 / 2015,Área Metropolitana do Porto,29.6
2014 / 2015,Arouca,
2014 / 2015,Espinho,
2014 / 2015,Gondomar,
2014 / 2015,Maia,4.6
2014 / 2015,Matosinhos,
2014 / 2015,Oliveira de Azeméis,6.7
2014 / 2015,Paredes,11.1
2014 / 2015,Porto,36.2
2014 / 2015,Póvoa de Varzim,
2014 / 2015,Santa Maria da Feira,17.3
2014 / 2015,Santo Tirso,
2014 / 2015,São João da Madeira,
2014 / 2015,Trofa,
2014 / 2015,Vale de Cambra,
2014 / 2015,Valongo,
2014 / 2015,Vila do Conde,22.1
2014 / 2015,Vila Nova de Gaia,7.5
2014 / 2015,Alto Tâmega,
2014 / 2015,Boticas,
2014 / 2015,Chaves,
2014 / 2015,Montalegre,
2014 / 2015,Ribeira de Pena,
2014 / 2015,Valpaços,
2014 / 2015,Vila Pouca de Aguiar,
2014 / 2015,Tâmega e Sousa,27.6
2014 / 2015,Amarante,
2014 / 2015,Baião,
2014 / 2015,Castelo de Paiva,
2014 / 2015,Celorico de Basto,
2014 / 2015,Cinfães,
2014 / 2015,Felgueiras,27.6
2014 / 2015,Lousada,
2014 / 2015,Marco de Canaveses,
2014 / 2015,Paços de Ferreira,
2014 / 2015,Penafiel,
2014 / 2015,Resende,
2014 / 2015,Douro,32.9
2014 / 2015,Alijó,
2014 / 2015,Armamar,
2014 / 2015,Carrazeda de Ansiães,
2014 / 2015,Freixo de Espada à Cinta,
2014 / 2015,Lamego,9.6
2014 / 2015,Mesão Frio,
2014 / 2015,Moimenta da Beira,
2014 / 2015,Murça,
2014 / 2015,Penedono,
2014 / 2015,Peso da Régua,
2014 / 2015,Sabrosa,
2014 / 2015,Santa Marta de Penaguião,
2014 / 2015,São João da Pesqueira,
2014 / 2015,Sernancelhe,
2014 / 2015,Tabuaço,
2014 / 2015,Tarouca,
2014 / 2015,Torre de Moncorvo,
2014 / 2015,Vila Nova de Foz Côa,
2014 / 2015,Vila Real,34.2
2014 / 2015,Terras de Trás-os-Montes,24.6
2014 / 2015,Alfândega da Fé,
2014 / 2015,Bragança,28.0
2014 / 2015,Macedo de Cavaleiros,
2014 / 2015,Miranda do Douro,
2014 / 2015,Mirandela,4.7
2014 / 2015,Mogadouro,
2014 / 2015,Vila Flor,
2014 / 2015,Vimioso,
2014 / 2015,Vinhais,
2014 / 2015,Centro,30.4
2014 / 2015,Oeste,9.2
2014 / 2015,Alcobaça,
2014 / 2015,Alenquer,
2014 / 2015,Arruda dos Vinhos,
2014 / 2015,Bombarral,
2014 / 2015,Cadaval,
2014 / 2015,Caldas da Rainha,
2014 / 2015,Lourinhã,
2014 / 2015,Nazaré,
2014 / 2015,Óbidos,
2014 / 2015,Peniche,20.6
2014 / 2015,Sobral de Monte Agraço,
2014 / 2015,Torres Vedras,15.1
2014 / 2015,Região de Aveiro,45.5
2014 / 2015,Águeda,39.5
2014 / 2015,Albergaria-a-Velha,
2014 / 2015,Anadia,
2014 / 2015,Aveiro,45.8
2014 / 2015,Estarreja,
2014 / 2015,Ílhavo,
2014 / 2015,Murtosa,
2014 / 2015,Oliveira do Bairro,
2014 / 2015,Ovar,
2014 / 2015,Sever do Vouga,
2014 / 2015,Vagos,
2014 / 2015,Região de Coimbra,28.5
2014 / 2015,Arganil,
2014 / 2015,Cantanhede,
2014 / 2015,Coimbra,28.5
2014 / 2015,Condeixa-a-Nova,
2014 / 2015,Figueira da Foz,
2014 / 2015,Góis,
2014 / 2015,Lousã,
2014 / 2015,Mealhada,
2014 / 2015,Mira,
2014 / 2015,Miranda do Corvo,
2014 / 2015,Montemor-o-Velho,
2014 / 2015,Mortágua,
2014 / 2015,Oliveira do Hospital,22.6
2014 / 2015,Pampilhosa da Serra,
2014 / 2015,Penacova,
2014 / 2015,Penela,
2014 / 2015,Soure,
2014 / 2015,Tábua,
2014 / 2015,Vila Nova de Poiares,
2014 / 2015,Região de Leiria,31.4
2014 / 2015,Alvaiázere,
2014 / 2015,Ansião,
2014 / 2015,Batalha,
2014 / 2015,Castanheira de Pêra,
2014 / 2015,Figueiró dos Vinhos,
2014 / 2015,Leiria,31.1
2014 / 2015,Marinha Grande,50.7
2014 / 2015,Pedrógão Grande,
2014 / 2015,Pombal,
2014 / 2015,Porto de Mós,
2014 / 2015,Viseu Dão Lafões,19.3
2014 / 2015,Aguiar da Beira,
2014 / 2015,Carregal do Sal,
2014 / 2015,Castro Daire,
2014 / 2015,Mangualde,
2014 / 2015,Nelas,
