year,region,kindergarten_public,kindergarten_private,1-4_gr_public,1_4_gr_private,5_6_gr_public,5_6_gr_private,7_9_gr_public,7_9_gr_private,10_12_gr_public,10_12_gr_private,professional_certification_public,professional_certification_private
2018 / 2019,Peniche,254.0,410.0,1029.0,,581.0,,875.0,44.0,666.0,45.0,,
2018 / 2019,Sobral de Monte Agraço,137.0,95.0,410.0,,246.0,,370.0,,252.0,,,
2018 / 2019,Torres Vedras,1220.0,803.0,2899.0,293.0,1273.0,539.0,2174.0,950.0,2461.0,1241.0,,
2018 / 2019,Região de Aveiro,4207.0,4441.0,12694.0,623.0,6739.0,652.0,10835.0,1157.0,11457.0,2635.0,69.0,18.0
2018 / 2019,Águeda,483.0,611.0,1559.0,27.0,860.0,95.0,1459.0,8.0,1983.0,,34.0,
2018 / 2019,Albergaria-a-Velha,269.0,290.0,833.0,79.0,464.0,92.0,652.0,144.0,555.0,419.0,,
2018 / 2019,Anadia,223.0,325.0,786.0,183.0,383.0,159.0,633.0,190.0,742.0,434.0,,
2018 / 2019,Aveiro,768.0,1403.0,3127.0,251.0,1670.0,146.0,2806.0,402.0,3929.0,741.0,35.0,18.0
2018 / 2019,Estarreja,340.0,314.0,922.0,31.0,546.0,,863.0,,772.0,,,
2018 / 2019,Ílhavo,480.0,407.0,1365.0,,654.0,,1042.0,,781.0,,,
2018 / 2019,Murtosa,160.0,86.0,388.0,,234.0,,322.0,,96.0,,,
2018 / 2019,Oliveira do Bairro,306.0,241.0,870.0,,471.0,,649.0,,462.0,107.0,,
2018 / 2019,Ovar,627.0,547.0,1809.0,52.0,961.0,5.0,1587.0,107.0,1253.0,399.0,,
2018 / 2019,Sever do Vouga,178.0,37.0,304.0,,192.0,,355.0,,409.0,254.0,,
2018 / 2019,Vagos,373.0,180.0,731.0,,304.0,155.0,467.0,306.0,475.0,281.0,,
2018 / 2019,Região de Coimbra,4435.0,4738.0,12741.0,1529.0,7069.0,691.0,11908.0,1189.0,12752.0,3040.0,262.0,
2018 / 2019,Arganil,185.0,44.0,344.0,,171.0,,391.0,,710.0,,50.0,
2018 / 2019,Cantanhede,379.0,327.0,1123.0,52.0,518.0,90.0,923.0,73.0,777.0,250.0,,
2018 / 2019,Coimbra,946.0,2392.0,3893.0,1281.0,2273.0,524.0,3846.0,748.0,5940.0,1189.0,212.0,
2018 / 2019,Condeixa-a-Nova,215.0,79.0,490.0,,309.0,,499.0,,300.0,,,
2018 / 2019,Figueira da Foz,603.0,639.0,1710.0,190.0,1007.0,3.0,1833.0,74.0,1683.0,442.0,,
2018 / 2019,Góis,37.0,42.0,73.0,,52.0,,74.0,,,,,
2018 / 2019,Lousã,274.0,89.0,649.0,,335.0,,561.0,32.0,425.0,174.0,,
2018 / 2019,Mealhada,185.0,201.0,579.0,,350.0,,536.0,,277.0,271.0,,
2018 / 2019,Mira,170.0,52.0,360.0,,185.0,,297.0,,212.0,,,
2018 / 2019,Miranda do Corvo,137.0,76.0,334.0,,226.0,,335.0,,269.0,,,
2018 / 2019,Montemor-o-Velho,207.0,214.0,683.0,,334.0,3.0,499.0,81.0,296.0,170.0,,
2018 / 2019,Mortágua,133.0,28.0,231.0,,141.0,,175.0,,207.0,,,
2018 / 2019,Oliveira do Hospital,206.0,201.0,627.0,6.0,387.0,,637.0,,556.0,146.0,,
2018 / 2019,Pampilhosa da Serra,23.0,31.0,97.0,,44.0,,69.0,,22.0,,,
2018 / 2019,Penacova,214.0,,317.0,,186.0,,293.0,27.0,234.0,205.0,,
2018 / 2019,Penela,83.0,,157.0,,66.0,,107.0,,,42.0,,
2018 / 2019,Soure,158.0,193.0,521.0,,175.0,70.0,314.0,134.0,359.0,56.0,,
2018 / 2019,Tábua,211.0,42.0,311.0,,181.0,,330.0,,282.0,47.0,,
2018 / 2019,Vila Nova de Poiares,69.0,88.0,242.0,,129.0,1.0,189.0,20.0,203.0,48.0,,
2018 / 2019,Região de Leiria,4406.0,2295.0,9189.0,801.0,4531.0,1120.0,7476.0,2121.0,7744.0,2845.0,65.0,
2018 / 2019,Alvaiázere,99.0,,155.0,,93.0,,127.0,,92.0,87.0,,
2018 / 2019,Ansião,129.0,99.0,349.0,,235.0,,406.0,32.0,259.0,331.0,,
2018 / 2019,Batalha,241.0,159.0,524.0,,267.0,13.0,474.0,34.0,401.0,,,
2018 / 2019,Castanheira de Pêra,36.0,,70.0,,41.0,,65.0,,,,,
2018 / 2019,Figueiró dos Vinhos,56.0,32.0,128.0,,76.0,,123.0,,159.0,,,
2018 / 2019,Leiria,1875.0,1292.0,4090.0,612.0,1976.0,631.0,3263.0,1067.0,3970.0,724.0,65.0,
2018 / 2019,Marinha Grande,680.0,213.0,1354.0,118.0,767.0,22.0,1301.0,84.0,1411.0,345.0,,
2018 / 2019,Pedrógão Grande,41.0,24.0,86.0,,47.0,,116.0,,,177.0,,
2018 / 2019,Pombal,863.0,338.0,1629.0,31.0,737.0,293.0,1117.0,631.0,1105.0,864.0,,
2018 / 2019,Porto de Mós,386.0,138.0,804.0,40.0,292.0,161.0,484.0,273.0,347.0,317.0,,
2018 / 2019,Viseu Dão Lafões,3539.0,1766.0,8097.0,500.0,4379.0,307.0,7738.0,587.0,8395.0,1353.0,89.0,
2018 / 2019,Aguiar da Beira,78.0,,124.0,,72.0,,132.0,,161.0,,,
2018 / 2019,Carregal do Sal,179.0,,286.0,,147.0,,287.0,,222.0,,,
2018 / 2019,Castro Daire,220.0,33.0,433.0,,270.0,,461.0,20.0,419.0,42.0,,
2018 / 2019,Mangualde,240.0,162.0,627.0,,322.0,,660.0,,689.0,18.0,,
2018 / 2019,Nelas,165.0,159.0,412.0,24.0,271.0,,428.0,,343.0,,,
2018 / 2019,Oliveira de Frades,147.0,58.0,334.0,,166.0,,335.0,,277.0,,,
2018 / 2019,Penalva do Castelo,131.0,,207.0,,122.0,,205.0,,172.0,,,
2018 / 2019,Santa Comba Dão,125.0,39.0,324.0,,187.0,,309.0,,286.0,,,
2018 / 2019,São Pedro do Sul,179.0,65.0,470.0,,216.0,1.0,458.0,1.0,362.0,150.0,,
2018 / 2019,Sátão,208.0,18.0,333.0,,186.0,,287.0,,294.0,,,
2018 / 2019,Tondela,331.0,76.0,719.0,1.0,394.0,,749.0,57.0,623.0,376.0,,
2018 / 2019,Vila Nova de Paiva,91.0,,148.0,,76.0,,150.0,,126.0,,,
2018 / 2019,Viseu,1285.0,1127.0,3402.0,475.0,1819.0,306.0,3009.0,469.0,4216.0,593.0,89.0,
2018 / 2019,Vouzela,160.0,29.0,278.0,,131.0,,268.0,40.0,205.0,174.0,,
2018 / 2019,Beira Baixa,739.0,803.0,2277.0,221.0,1338.0,,2150.0,53.0,2170.0,304.0,11.0,
2018 / 2019,Castelo Branco,460.0,682.0,1612.0,213.0,983.0,,1592.0,42.0,1692.0,203.0,11.0,
2018 / 2019,Idanha-a-Nova,97.0,32.0,251.0,,120.0,,181.0,11.0,171.0,101.0,,
2018 / 2019,Oleiros,36.0,16.0,74.0,,48.0,,68.0,,101.0,,,
2018 / 2019,Penamacor,25.0,20.0,92.0,8.0,62.0,,91.0,,65.0,,,
2018 / 2019,Proença-a-Nova,61.0,53.0,184.0,,86.0,,164.0,,141.0,,,
2018 / 2019,Vila Velha de Ródão,60.0,,64.0,,39.0,,54.0,,,,,
2018 / 2019,Médio Tejo,3143.0,1755.0,7010.0,515.0,3873.0,579.0,6490.0,1023.0,6669.0,2401.0,59.0,
2018 / 2019,Abrantes,365.0,256.0,1001.0,4.0,626.0,,1141.0,,1214.0,,,
2018 / 2019,Alcanena,188.0,104.0,435.0,,247.0,,430.0,,368.0,,,
2018 / 2019,Constância,103.0,,168.0,,106.0,,189.0,,143.0,,,
2018 / 2019,Entroncamento,278.0,199.0,605.0,157.0,432.0,,618.0,47.0,644.0,343.0,,
2018 / 2019,Ferreira do Zêzere,126.0,28.0,244.0,,148.0,,237.0,,105.0,,,
2018 / 2019,Mação,78.0,,141.0,,75.0,,168.0,,179.0,,,
2018 / 2019,Ourém,807.0,309.0,1475.0,64.0,480.0,469.0,770.0,747.0,730.0,1465.0,,
2018 / 2019,Sardoal,66.0,,118.0,,77.0,,113.0,,80.0,,,
2018 / 2019,Sertã,130.0,160.0,423.0,,194.0,70.0,323.0,112.0,431.0,179.0,,
2018 / 2019,Tomar,430.0,225.0,989.0,108.0,640.0,,1190.0,,1642.0,135.0,59.0,
2018 / 2019,Torres Novas,390.0,428.0,1082.0,182.0,652.0,40.0,1062.0,117.0,944.0,279.0,,
2018 / 2019,Vila de Rei,32.0,22.0,87.0,,43.0,,67.0,,49.0,,,
2018 / 2019,Vila Nova da Barquinha,150.0,24.0,242.0,,153.0,,182.0,,140.0,,,
2018 / 2019,Beiras e Serra da Estrela,1850.0,1997.0,5820.0,250.0,3356.0,186.0,5639.0,347.0,5683.0,1558.0,34.0,
2018 / 2019,Almeida,78.0,,119.0,,74.0,,116.0,,116.0,,,
2018 / 2019,Belmonte,53.0,69.0,194.0,,123.0,,169.0,,70.0,,,
2018 / 2019,Celorico da Beira,26.0,71.0,197.0,,128.0,,177.0,,140.0,,,
2018 / 2019,Covilhã,415.0,484.0,1359.0,79.0,832.0,16.0,1343.0,49.0,1700.0,143.0,,
2018 / 2019,Figueira de Castelo Rodrigo,35.0,74.0,152.0,,78.0,,120.0,,71.0,,,
2018 / 2019,Fornos de Algodres,72.0,,120.0,,66.0,,161.0,,155.0,,,
2018 / 2019,Fundão,240.0,239.0,778.0,,402.0,41.0,661.0,92.0,668.0,239.0,,
2018 / 2019,Gouveia,112.0,111.0,350.0,,189.0,,303.0,24.0,278.0,121.0,,
2018 / 2019,Guarda,318.0,501.0,1171.0,171.0,727.0,75.0,1294.0,98.0,1309.0,588.0,34.0,
2018 / 2019,Manteigas,18.0,17.0,57.0,,34.0,,66.0,,40.0,38.0,,
2018 / 2019,Mêda,35.0,43.0,114.0,,55.0,,117.0,,66.0,,,
2018 / 2019,Pinhel,63.0,70.0,176.0,,111.0,,186.0,,201.0,,,
2018 / 2019,Sabugal,89.0,61.0,252.0,,69.0,34.0,147.0,63.0,173.0,,,
2018 / 2019,Seia,213.0,203.0,584.0,,328.0,20.0,529.0,21.0,545.0,149.0,,
2018 / 2019,Trancoso,83.0,54.0,197.0,,140.0,,250.0,,151.0,280.0,,
2018 / 2019,Área Metropolitana de Lisboa,32006.0,42635.0,96112.0,27291.0,55299.0,12078.0,88444.0,16666.0,92136.0,23874.0,2828.0,
2018 / 2019,Área Metropolitana de Lisboa,32006.0,42635.0,96112.0,27291.0,55299.0,12078.0,88444.0,16666.0,92136.0,23874.0,2828.0,
2018 / 2019,Alcochete,276.0,291.0,815.0,95.0,475.0,32.0,738.0,,743.0,,,
2018 / 2019,Almada,2215.0,2501.0,6665.0,1003.0,3820.0,412.0,5802.0,600.0,5707.0,1220.0,,
2018 / 2019,Amadora,1791.0,2099.0,5963.0,733.0,3443.0,351.0,5079.0,445.0,5952.0,850.0,729.0,
2018 / 2019,Barreiro,1153.0,919.0,3072.0,417.0,1805.0,119.0,2888.0,178.0,3150.0,285.0,,
2018 / 2019,Cascais,1628.0,4236.0,5284.0,4464.0,3012.0,2493.0,5007.0,3500.0,6294.0,2487.0,133.0,
2018 / 2019,Lisboa,5548.0,12304.0,14656.0,11927.0,9213.0,5487.0,15221.0,7407.0,22233.0,12553.0,1527.0,
2018 / 2019,Loures,2569.0,2367.0,7460.0,1140.0,4034.0,456.0,5879.0,690.0,3931.0,620.0,,
2018 / 2019,Mafra,1666.0,704.0,3613.0,182.0,1510.0,504.0,2369.0,799.0,2080.0,948.0,,
2018 / 2019,Moita,969.0,464.0,2581.0,91.0,1451.0,,2316.0,,1307.0,534.0,,
2018 / 2019,Montijo,804.0,653.0,2155.0,246.0,1214.0,86.0,1854.0,71.0,1390.0,391.0,,
2018 / 2019,Odivelas,1934.0,1467.0,5487.0,565.0,3061.0,170.0,4923.0,282.0,4348.0,189.0,81.0,
2018 / 2019,Oeiras,1368.0,3280.0,5187.0,1504.0,3261.0,303.0,5290.0,448.0,5075.0,846.0,,
2018 / 2019,Palmela,815.0,589.0,2392.0,475.0,1358.0,306.0,2173.0,424.0,1564.0,441.0,,
2018 / 2019,Seixal,1580.0,1889.0,5698.0,919.0,3229.0,410.0,5438.0,520.0,5811.0,615.0,49.0,
2018 / 2019,Sesimbra,806.0,436.0,2135.0,73.0,1172.0,,2007.0,,1373.0,132.0,,
2018 / 2019,Setúbal,940.0,2072.0,4591.0,636.0,3001.0,122.0,4674.0,26.0,4848.0,421.0,188.0,
2018 / 2019,Sintra,4578.0,3921.0,13337.0,2155.0,7435.0,639.0,12057.0,1025.0,11145.0,1127.0,42.0,
2018 / 2019,Vila Franca de Xira,1366.0,2443.0,5021.0,666.0,2805.0,188.0,4729.0,251.0,5185.0,215.0,79.0,
2018 / 2019,Alentejo,10140.0,6452.0,25176.0,759.0,14060.0,609.0,22293.0,1286.0,20734.0,3948.0,242.0,
2018 / 2019,Alentejo Litoral,1590.0,669.0,3405.0,,1678.0,151.0,2771.0,263.0,2230.0,683.0,17.0,
2018 / 2019,Alcácer do Sal,178.0,64.0,377.0,,193.0,,377.0,,255.0,,,
2018 / 2019,Grândola,270.0,83.0,484.0,,320.0,,490.0,,468.0,,,
2018 / 2019,Odemira,389.0,185.0,860.0,,337.0,151.0,529.0,260.0,395.0,384.0,,
2018 / 2019,Santiago do Cacém,461.0,202.0,1027.0,,522.0,,876.0,,843.0,,17.0,
2018 / 2019,Sines,292.0,135.0,657.0,,306.0,,499.0,3.0,269.0,299.0,,
2018 / 2019,Baixo Alentejo,1899.0,1013.0,4446.0,79.0,2427.0,105.0,3670.0,270.0,3570.0,692.0,42.0,
2018 / 2019,Aljustrel,133.0,75.0,319.0,,168.0,,263.0,,303.0,,21.0,
2018 / 2019,Almodôvar,93.0,28.0,225.0,,98.0,,238.0,,260.0,,,
2018 / 2019,Alvito,62.0,,69.0,,32.0,,64.0,36.0,,160.0,,
2018 / 2019,Barrancos,36.0,,47.0,,21.0,,70.0,,20.0,,,
2018 / 2019,Beja,420.0,567.0,1486.0,79.0,812.0,105.0,1188.0,165.0,1517.0,165.0,21.0,
2018 / 2019,Castro Verde,128.0,47.0,239.0,,156.0,,253.0,,198.0,,,
2018 / 2019,Cuba,108.0,,169.0,,86.0,,112.0,40.0,9.0,100.0,,
2018 / 2019,Ferreira do Alentejo,115.0,49.0,279.0,,128.0,,176.0,,86.0,,,
2018 / 2019,Mértola,88.0,21.0,148.0,,108.0,,144.0,,142.0,41.0,,
2018 / 2019,Moura,287.0,90.0,641.0,,359.0,,466.0,29.0,430.0,101.0,,
2018 / 2019,Ourique,71.0,35.0,151.0,,64.0,,141.0,,106.0,,,
2018 / 2019,Serpa,264.0,59.0,449.0,,292.0,,409.0,,468.0,1.0,,
2018 / 2019,Vidigueira,94.0,42.0,224.0,,103.0,,146.0,,31.0,124.0,,
2018 / 2019,Lezíria do Tejo,3285.0,2252.0,8508.0,261.0,5047.0,97.0,7761.0,362.0,6506.0,1741.0,51.0,
2018 / 2019,Almeirim,300.0,266.0,898.0,33.0,529.0,,760.0,20.0,474.0,11.0,,
2018 / 2019,Alpiarça,64.0,64.0,196.0,,125.0,,188.0,,169.0,,,
2018 / 2019,Azambuja,236.0,364.0,818.0,,479.0,,762.0,,598.0,,,
2018 / 2019,Benavente,501.0,260.0,1241.0,,725.0,,1046.0,,552.0,,,
2018 / 2019,Cartaxo,201.0,242.0,817.0,,476.0,,771.0,,564.0,,,
2018 / 2019,Chamusca,158.0,23.0,278.0,,164.0,,210.0,,142.0,,,
2018 / 2019,Coruche,179.0,133.0,552.0,,305.0,1.0,500.0,54.0,300.0,203.0,,
2018 / 2019,Golegã,67.0,45.0,157.0,,98.0,,162.0,,98.0,,,
2018 / 2019,Rio Maior,361.0,195.0,693.0,100.0,467.0,,701.0,,707.0,225.0,,
2018 / 2019,Salvaterra de Magos,291.0,179.0,730.0,2.0,471.0,1.0,678.0,65.0,615.0,452.0,,
2018 / 2019,Santarém,927.0,481.0,2128.0,126.0,1208.0,95.0,1983.0,223.0,2287.0,850.0,51.0,
2018 / 2019,Alto Alentejo,1469.0,930.0,3600.0,135.0,2030.0,104.0,3305.0,136.0,3538.0,248.0,42.0,
2018 / 2019,Alter do Chão,69.0,,94.0,,44.0,,135.0,,153.0,,,
2018 / 2019,Arronches,30.0,25.0,85.0,,44.0,,76.0,,11.0,,,
2018 / 2019,Avis,77.0,,108.0,,78.0,,84.0,,17.0,,,
2018 / 2019,Campo Maior,150.0,110.0,374.0,2.0,212.0,46.0,291.0,61.0,173.0,160.0,,
2018 / 2019,Castelo de Vide,40.0,24.0,92.0,,35.0,,77.0,,17.0,,,
2018 / 2019,Crato,39.0,28.0,87.0,,44.0,,75.0,,,88.0,,
2018 / 2019,Elvas,270.0,279.0,905.0,106.0,499.0,58.0,706.0,75.0,881.0,,,
2018 / 2019,Fronteira,40.0,20.0,83.0,,59.0,,86.0,,29.0,,,
2018 / 2019,Gavião,36.0,12.0,84.0,,59.0,,106.0,,,,,
2018 / 2019,Marvão,33.0,,67.0,,33.0,,70.0,,,,,
2018 / 2019,Monforte,66.0,,131.0,,51.0,,105.0,,,,,
2018 / 2019,Nisa,88.0,,122.0,,75.0,,118.0,,114.0,,,
2018 / 2019,Ponte de Sor,194.0,112.0,478.0,27.0,273.0,,439.0,,545.0,,9.0,
2018 / 2019,Portalegre,279.0,290.0,751.0,,449.0,,790.0,,1494.0,,33.0,
2018 / 2019,Sousel,58.0,30.0,139.0,,75.0,,147.0,,104.0,,,
2018 / 2019,Alentejo Central,1897.0,1588.0,5217.0,284.0,2878.0,152.0,4786.0,255.0,4890.0,584.0,90.0,
2018 / 2019,Alandroal,75.0,,149.0,,70.0,,103.0,,,,,
2018 / 2019,Arraiolos,52.0,57.0,170.0,,112.0,,163.0,,136.0,,,
2018 / 2019,Borba,121.0,37.0,209.0,,120.0,,154.0,,,,,
2018 / 2019,Estremoz,179.0,74.0,427.0,,182.0,,383.0,,549.0,,,
2018 / 2019,Évora,409.0,955.0,1998.0,217.0,1095.0,109.0,1868.0,190.0,2359.0,554.0,90.0,
2018 / 2019,Montemor-o-Novo,222.0,97.0,497.0,,265.0,,503.0,,367.0,,,
2018 / 2019,Mora,58.0,19.0,104.0,,68.0,,103.0,,56.0,,,
2018 / 2019,Mourão,55.0,,95.0,,60.0,,60.0,,,,,
2018 / 2019,Portel,61.0,53.0,182.0,,105.0,,123.0,,18.0,,,
2018 / 2019,Redondo,122.0,21.0,218.0,,106.0,,158.0,,132.0,,,
2018 / 2019,Reguengos de Monsaraz,194.0,56.0,380.0,,248.0,4.0,411.0,19.0,330.0,23.0,,
2018 / 2019,Vendas Novas,161.0,113.0,350.0,67.0,203.0,39.0,369.0,40.0,427.0,,,
2018 / 2019,Viana do Alentejo,87.0,30.0,188.0,,105.0,,176.0,6.0,134.0,7.0,,
2018 / 2019,Vila Viçosa,101.0,76.0,250.0,,139.0,,212.0,,382.0,,,
2018 / 2019,Algarve,6615.0,5093.0,17710.0,1645.0,10094.0,359.0,15894.0,658.0,15383.0,649.0,240.0,
2018 / 2019,Algarve,6615.0,5093.0,17710.0,1645.0,10094.0,359.0,15894.0,658.0,15383.0,649.0,240.0,
2018 / 2019,Albufeira,970.0,334.0,1993.0,,1004.0,,1813.0,,1511.0,64.0,,
2018 / 2019,Alcoutim,,28.0,59.0,,24.0,,52.0,,,,,
2018 / 2019,Aljezur,144.0,,219.0,,118.0,,147.0,,,,,
2018 / 2019,Castro Marim,113.0,73.0,272.0,,120.0,,145.0,,,,,
2018 / 2019,Faro,441.0,1150.0,2472.0,420.0,1564.0,60.0,2352.0,89.0,2892.0,65.0,183.0,
2018 / 2019,Lagoa,353.0,334.0,893.0,126.0,503.0,78.0,743.0,125.0,289.0,69.0,,
2018 / 2019,Lagos,262.0,581.0,1041.0,247.0,743.0,37.0,1128.0,58.0,1281.0,23.0,,
2018 / 2019,Loulé,1367.0,529.0,3054.0,193.0,1601.0,99.0,2445.0,217.0,2095.0,233.0,,
2018 / 2019,Monchique,107.0,,138.0,,88.0,,126.0,,,,,
2018 / 2019,Olhão,610.0,473.0,1803.0,100.0,989.0,56.0,1564.0,80.0,1304.0,,,
2018 / 2019,Portimão,941.0,591.0,2232.0,321.0,1359.0,1.0,2276.0,57.0,3046.0,168.0,45.0,
2018 / 2019,São Brás de Alportel,229.0,74.0,436.0,,256.0,,346.0,,332.0,,,
2018 / 2019,Silves,473.0,422.0,1291.0,108.0,682.0,10.0,1102.0,32.0,925.0,27.0,,
2018 / 2019,Tavira,231.0,337.0,872.0,76.0,520.0,,752.0,,837.0,,,
2018 / 2019,Vila do Bispo,125.0,,176.0,54.0,75.0,18.0,114.0,,,,,
2018 / 2019,Vila Real de Santo António,249.0,167.0,759.0,,448.0,,789.0,,871.0,,12.0,
2018 / 2019,Região Autónoma dos Açores,4194.0,2512.0,10051.0,898.0,5568.0,152.0,9389.0,154.0,7472.0,2205.0,,
2018 / 2019,Região Autónoma dos Açores,4194.0,2512.0,10051.0,898.0,5568.0,152.0,9389.0,154.0,7472.0,2205.0,,
2018 / 2019,Região Autónoma dos Açores,4194.0,2512.0,10051.0,898.0,5568.0,152.0,9389.0,154.0,7472.0,2205.0,,
2018 / 2019,Angra do Heroísmo,301.0,608.0,1259.0,142.0,727.0,43.0,1143.0,,1087.0,180.0,,
2018 / 2019,Calheta,21.0,81.0,121.0,,84.0,,109.0,,89.0,,,
2018 / 2019,Corvo,,10.0,19.0,,2.0,,8.0,,10.0,,,
2018 / 2019,Horta,231.0,171.0,503.0,68.0,292.0,,575.0,,457.0,124.0,,
2018 / 2019,Lagoa,335.0,56.0,666.0,,384.0,,679.0,,440.0,57.0,,
2018 / 2019,Lajes das Flores,17.0,,44.0,,30.0,,1.0,,1.0,,,
2018 / 2019,Lajes do Pico,80.0,5.0,159.0,,91.0,,129.0,,140.0,,,
2018 / 2019,Madalena,161.0,28.0,243.0,,128.0,,207.0,,136.0,112.0,,
2018 / 2019,Nordeste,95.0,,185.0,,102.0,,172.0,,133.0,54.0,,
2018 / 2019,Ponta Delgada,1170.0,885.0,2655.0,688.0,1645.0,109.0,2952.0,78.0,2562.0,975.0,,
2018 / 2019,Povoação,138.0,26.0,240.0,,153.0,,251.0,20.0,133.0,78.0,,
2018 / 2019,Ribeira Grande,711.0,218.0,1922.0,,838.0,,1354.0,42.0,677.0,158.0,,
2018 / 2019,Santa Cruz da Graciosa,72.0,69.0,185.0,,77.0,,126.0,,129.0,,,
2018 / 2019,Santa Cruz das Flores,43.0,22.0,79.0,,43.0,,118.0,,98.0,,,
2018 / 2019,São Roque do Pico,71.0,27.0,121.0,,48.0,,94.0,,72.0,,,
2018 / 2019,Velas,46.0,89.0,178.0,,95.0,,143.0,,145.0,109.0,,
2018 / 2019,Vila da Praia da Vitória,364.0,130.0,768.0,,445.0,,734.0,,636.0,247.0,,
2018 / 2019,Vila do Porto,139.0,10.0,222.0,,126.0,,170.0,,231.0,,,
2018 / 2019,Vila Franca do Campo,199.0,77.0,482.0,,258.0,,424.0,14.0,296.0,111.0,,
2018 / 2019,Região Autónoma da Madeira,3038.0,2648.0,7856.0,2421.0,5059.0,794.0,8654.0,1156.0,9621.0,1505.0,,
2018 / 2019,Região Autónoma da Madeira,3038.0,2648.0,7856.0,2421.0,5059.0,794.0,8654.0,1156.0,9621.0,1505.0,,
2018 / 2019,Região Autónoma da Madeira,3038.0,2648.0,7856.0,2421.0,5059.0,794.0,8654.0,1156.0,9621.0,1505.0,,
2018 / 2019,Calheta,159.0,64.0,509.0,44.0,261.0,,393.0,,420.0,,,
2018 / 2019,Câmara de Lobos,384.0,226.0,1240.0,,686.0,,1068.0,,387.0,,,
2018 / 2019,Funchal,1095.0,1843.0,3021.0,1938.0,2050.0,794.0,3716.0,1156.0,6538.0,1505.0,,
2018 / 2019,Machico,283.0,85.0,635.0,97.0,438.0,,792.0,,691.0,,,
2018 / 2019,Ponta do Sol,150.0,10.0,480.0,,172.0,,348.0,,219.0,,,
2018 / 2019,Porto Moniz,43.0,,66.0,,45.0,,79.0,,52.0,,,
2018 / 2019,Porto Santo,83.0,24.0,100.0,95.0,110.0,,179.0,,203.0,,,
2018 / 2019,Ribeira Brava,275.0,,493.0,,304.0,,561.0,,457.0,,,
2018 / 2019,Santa Cruz,388.0,372.0,955.0,217.0,807.0,,1197.0,,340.0,,,
2018 / 2019,Santana,98.0,21.0,204.0,30.0,89.0,,172.0,,206.0,,,
2018 / 2019,São Vicente,80.0,3.0,153.0,,97.0,,149.0,,108.0,,,
2017 / 2018,Portugal,127535.0,112696.0,349067.0,52409.0,193563.0,26621.0,318711.0,47333.0,315522.0,85528.0,4683.0,58.0
2017 / 2018,Continente,120245.0,107693.0,330356.0,48989.0,182668.0,25696.0,300028.0,45947.0,298765.0,81605.0,4683.0,18.0
2017 / 2018,Norte,44841.0,33909.0,118394.0,14006.0,65972.0,7580.0,109663.0,16053.0,106742.0,35148.0,1242.0,
2017 / 2018,Alto Minho,3173.0,1563.0,7303.0,304.0,4131.0,112.0,6725.0,518.0,7433.0,1814.0,93.0,
2017 / 2018,Arcos de Valdevez,170.0,195.0,558.0,,317.0,16.0,574.0,21.0,585.0,154.0,,
2017 / 2018,Caminha,213.0,144.0,451.0,,271.0,,409.0,14.0,270.0,164.0,,
2017 / 2018,Melgaço,62.0,44.0,222.0,,81.0,,172.0,,177.0,17.0,,
2017 / 2018,Monção,247.0,55.0,488.0,,266.0,1.0,418.0,38.0,365.0,287.0,,
2017 / 2018,Paredes de Coura,75.0,77.0,279.0,,155.0,,224.0,,113.0,109.0,,
2017 / 2018,Ponte da Barca,162.0,46.0,320.0,,202.0,,301.0,,306.0,121.0,,
2017 / 2018,Ponte de Lima,837.0,65.0,1449.0,,771.0,2.0,1340.0,71.0,1335.0,267.0,,
2017 / 2018,Valença,239.0,40.0,448.0,,241.0,,357.0,,316.0,53.0,,
2017 / 2018,Viana do Castelo,999.0,876.0,2779.0,304.0,1649.0,93.0,2685.0,332.0,3810.0,578.0,93.0,
2017 / 2018,Vila Nova de Cerveira,169.0,21.0,309.0,,178.0,,245.0,42.0,156.0,64.0,,
2017 / 2018,Cávado,5485.0,4325.0,13976.0,1903.0,7480.0,1240.0,12102.0,2549.0,12342.0,4953.0,,
2017 / 2018,Amares,300.0,40.0,623.0,,341.0,,574.0,,488.0,,,
2017 / 2018,Barcelos,1871.0,669.0,4248.0,139.0,2061.0,256.0,3039.0,803.0,2853.0,1094.0,,
2017 / 2018,Braga,1910.0,3020.0,5973.0,1751.0,3406.0,982.0,5658.0,1467.0,6966.0,2941.0,,
2017 / 2018,Esposende,493.0,324.0,1312.0,,658.0,,1154.0,33.0,992.0,202.0,,
2017 / 2018,Terras de Bouro,83.0,34.0,182.0,,124.0,,225.0,,102.0,,,
2017 / 2018,Vila Verde,828.0,238.0,1638.0,13.0,890.0,2.0,1452.0,246.0,941.0,716.0,,
2017 / 2018,Ave,4230.0,4866.0,14029.0,944.0,7436.0,747.0,12194.0,1684.0,12031.0,3483.0,,
2017 / 2018,Cabeceiras de Basto,256.0,98.0,558.0,1.0,373.0,3.0,614.0,9.0,242.0,335.0,,
2017 / 2018,Fafe,431.0,629.0,1553.0,177.0,851.0,72.0,1444.0,203.0,1345.0,465.0,,
2017 / 2018,Guimarães,1366.0,2041.0,5096.0,391.0,2738.0,190.0,4586.0,323.0,4784.0,689.0,,
2017 / 2018,Mondim de Basto,60.0,47.0,203.0,,108.0,,211.0,,191.0,,,
2017 / 2018,Póvoa de Lanhoso,346.0,98.0,791.0,,451.0,,744.0,16.0,575.0,211.0,,
