year,region,kindergarten_public,kindergarten_private,1-4_gr_public,1_4_gr_private,5_6_gr_public,5_6_gr_private,7_9_gr_public,7_9_gr_private,10_12_gr_public,10_12_gr_private,professional_certification_public,professional_certification_private
2020 / 2021,Valpaços,123.0,117.0,318.0,,177.0,,365.0,,304.0,,,
2020 / 2021,Vila Pouca de Aguiar,163.0,50.0,263.0,,176.0,,250.0,15.0,340.0,,,
2020 / 2021,Tâmega e Sousa,7114.0,2031.0,13053.0,737.0,7661.0,726.0,12921.0,1483.0,11982.0,4215.0,,
2020 / 2021,Amarante,756.0,292.0,1510.0,185.0,654.0,352.0,1083.0,540.0,939.0,1372.0,,
2020 / 2021,Baião,123.0,170.0,500.0,,272.0,,483.0,,477.0,,,
2020 / 2021,Castelo de Paiva,255.0,89.0,528.0,,312.0,76.0,537.0,120.0,467.0,250.0,,
2020 / 2021,Celorico de Basto,294.0,25.0,496.0,,272.0,,498.0,,519.0,,,
2020 / 2021,Cinfães,309.0,,547.0,,301.0,,498.0,,550.0,63.0,,
2020 / 2021,Felgueiras,877.0,399.0,1723.0,135.0,1080.0,5.0,1931.0,55.0,1844.0,428.0,,
2020 / 2021,Lousada,949.0,225.0,1563.0,172.0,932.0,112.0,1530.0,159.0,1370.0,208.0,,
2020 / 2021,Marco de Canaveses,1066.0,82.0,1668.0,,1064.0,,1697.0,11.0,1750.0,87.0,,
2020 / 2021,Paços de Ferreira,946.0,378.0,1868.0,165.0,1206.0,119.0,1970.0,288.0,1589.0,639.0,,
2020 / 2021,Penafiel,1344.0,335.0,2359.0,80.0,1389.0,62.0,2390.0,310.0,2164.0,1150.0,,
2020 / 2021,Resende,195.0,36.0,291.0,,179.0,,304.0,,313.0,18.0,,
2020 / 2021,Douro,2430.0,1220.0,5039.0,192.0,3007.0,143.0,4949.0,179.0,5390.0,1011.0,96.0,
2020 / 2021,Alijó,83.0,100.0,239.0,,144.0,,267.0,,243.0,,,
2020 / 2021,Armamar,88.0,21.0,141.0,,83.0,,131.0,,113.0,,,
2020 / 2021,Carrazeda de Ansiães,64.0,37.0,143.0,,73.0,,135.0,,114.0,,,
2020 / 2021,Freixo de Espada à Cinta,13.0,35.0,94.0,,49.0,,77.0,,,,,
2020 / 2021,Lamego,316.0,137.0,656.0,38.0,396.0,16.0,711.0,35.0,946.0,84.0,80.0,
2020 / 2021,Mesão Frio,70.0,,106.0,,80.0,,119.0,,172.0,,,
2020 / 2021,Moimenta da Beira,142.0,82.0,269.0,,169.0,,273.0,,351.0,86.0,,
2020 / 2021,Murça,52.0,24.0,147.0,,70.0,,121.0,21.0,123.0,97.0,,
2020 / 2021,Penedono,20.0,24.0,61.0,,38.0,,86.0,,,,,
2020 / 2021,Peso da Régua,115.0,204.0,482.0,,286.0,,444.0,,685.0,,,
2020 / 2021,Sabrosa,72.0,15.0,131.0,,77.0,,146.0,,150.0,,,
2020 / 2021,Santa Marta de Penaguião,39.0,83.0,148.0,,73.0,,90.0,,,,,
2020 / 2021,São João da Pesqueira,129.0,,192.0,1.0,127.0,10.0,187.0,28.0,114.0,138.0,,
2020 / 2021,Sernancelhe,71.0,17.0,126.0,,63.0,,107.0,,,120.0,,
2020 / 2021,Tabuaço,68.0,,111.0,,53.0,,125.0,,95.0,,,
2020 / 2021,Tarouca,136.0,34.0,233.0,,143.0,,223.0,,171.0,,,
2020 / 2021,Torre de Moncorvo,80.0,15.0,143.0,,88.0,,114.0,,131.0,,,
2020 / 2021,Vila Nova de Foz Côa,67.0,23.0,139.0,,78.0,,135.0,,80.0,,,
2020 / 2021,Vila Real,805.0,369.0,1478.0,153.0,917.0,117.0,1458.0,95.0,1902.0,486.0,16.0,
